item,status,error,sort_by,collected_at_utc,base_price,currency,n_listings,cap_hit,discount_sample_n,avg_discount,median_discount,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_n,steam_sales_7d_iqr_risk%,steam_sales_7d_band_risk%,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_turnover_proxy,steam_discount_risk_score,steam_daily_ret_3d,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,steam_daily_downside_14d_pct,trade_days,steam_trade_currency,risk_collected_at_utc,risk_rule_trend,risk_rule_price,risk_rule_liquidity,risk_rule_tail,risk_rule_listings,risk_pass
AK-47 | Aphrodite (Minimal Wear),ok,,best_deal,2026-04-17T00:32:36.971279+00:00,45.92,,50,True,8,-0.0098842031510376,-0.0050087108013937,46.38375,45.93,1/1,52.8045,50.6015,48.418,49.3863,53.018,58.0782,45.086,150.505,212,6.877633535020694,18.29427416223997,4.135064246418397,0.956849105263678,4.24,-0.036848219875547,0.0106022472800777,-0.0275640475577548,-0.0033892932228039,,0.1174601929563103,0.0190995372186054,7,3,2026-05-21T01:09:28.561376+00:00,True,True,True,True,True,True
AK-47 | Aquamarine Revenge (Battle-Scarred),ok,,best_deal,2026-04-17T00:32:43.053753+00:00,41.59,,50,True,8,0.011086361084951,0.00996374884462,40.8875,41.3475,1/1,40.2279,40.3835,38.6453,39.683,41.0867,41.551,34.898,44.087,84,3.4893693183089365,7.223096408214208,4.320881776080777,0.9569576683546498,1.68,-0.023559760795281,0.0228660630658759,0.0060555439548968,-0.0015652586975726,0.0003800133181179,0.038824994505897,0.0337460015139307,7,3,2026-05-20T23:18:57.179341+00:00,True,True,True,True,True,True
AK-47 | Aquamarine Revenge (Field-Tested),ok,,best_deal,2026-04-17T00:32:52.674079+00:00,42.43,,50,True,8,0.0006209828401829,0.0,43.3375,43.36125,1/1,48.0924,47.431,44.2928,44.984,50.187,53.4046,34.524,62.065,163,10.818757225673902,18.946444760502704,6.525355357603275,0.9338365204191352,3.26,-0.0520443787537954,0.0872994652406415,-0.0331669044222538,-0.0053640151720042,-0.0151183954482936,0.1288577400713143,0.0802901758268781,7,3,2026-05-21T00:09:15.556223+00:00,True,True,True,True,True,True
AK-47 | Aquamarine Revenge (Well-Worn),ok,,best_deal,2026-04-17T00:33:02.511494+00:00,37.77,,50,True,8,-0.0272900932534091,-0.0293690002523201,38.17125,37.1575,1/1,40.8562,40.583,39.3456,39.694,41.5625,42.2554,38.133,48.518,95,4.573357287266063,7.122052466945052,3.028671291015809,0.969509400487889,1.9,-0.048328846205588,0.0291747776162432,0.0012705566476483,-0.005212862540867,,0.0992410276055258,0.0542294155673137,7,3,2026-05-21T02:41:08.865239+00:00,True,True,True,True,True,True
AK-47 | Asiimov (Field-Tested),ok,,best_deal,2026-04-17T00:33:32.182464+00:00,43.59,,50,True,8,0.0292555578484883,0.0291526480507544,49.83,51.3325,1/1,50.348,50.05,48.496,49.1845,51.178,53.0271,43.94,63.004,648,3.959442281719229,8.999563041233008,3.086517835862388,0.968951048951049,12.96,0.0212880878556072,-0.0290722867835336,-0.0474773434329772,-0.0031113811389028,-0.0281906363584356,0.0937436604860632,0.0,7,3,2026-05-20T22:27:45.534821+00:00,True,True,True,True,True,True
AK-47 | B the Monster (Field-Tested),ok,,best_deal,2026-04-17T00:34:01.693595+00:00,230.37,,50,True,8,-0.0182251565173772,-0.0179612367672251,243.955,239.5125,1/1,190.9231,187.903,182.4124,186.425,196.431,203.087,23.798,289.81,85,5.240853516415771,10.828757756395111,2.8758175411985243,0.97077960437034,1.7,-0.0383560566461827,0.0048369371946832,-0.0599021393263824,0.0053781142847661,,0.0869171859949016,0.0231981394655752,7,3,2026-05-21T01:57:47.052756+00:00,True,True,True,True,True,True
AK-47 | Baroque Purple (Minimal Wear),ok,,best_deal,2026-04-17T00:34:43.973465+00:00,16.18,,50,True,8,0.0193543045725417,0.0230135529516881,16.84875,17.18,1/1,14.0264,13.861,13.2566,13.505,13.997,14.1692,11.486,22.994,55,3.5076712485028168,6.50630240118633,4.309017281697371,0.9563956424500396,1.1,-0.0172914823497536,-0.0477115716753022,-0.0463390025944077,-0.0085827086193144,-0.0464980704991675,0.1624726063628805,0.0,7,3,2026-05-20T22:49:06.724953+00:00,True,True,True,True,True,True
AK-47 | Bloodsport (Field-Tested),ok,,best_deal,2026-04-17T00:35:39.334291+00:00,146.32,,50,True,8,0.0026589425227556,0.0010135819987837,148.57625,148.98125,1/1,163.0411,163.114,153.238,156.928,169.857,175.398,138.61,181.706,83,7.929902337508763,13.591664923752353,6.057368356813101,0.9394533884277254,1.66,-0.049417108312754,-0.0114265326099883,0.0183327155413426,0.0044081329943323,-0.0081095310815839,0.0842880675192952,0.0180026775743889,7,3,2026-05-20T23:59:42.827376+00:00,True,True,True,True,True,True
AK-47 | Bloodsport (Minimal Wear),ok,,best_deal,2026-04-17T00:35:42.978310+00:00,165.66,,50,True,8,-0.0061325296057399,-0.0049732915822434,167.845,166.8275,1/1,183.9754,183.588,168.827,174.1665,192.855,200.1289,115.387,240.894,82,10.158151578961087,17.01417689538927,8.023355296414627,0.9195971414253656,1.64,-0.0779340040324895,-0.0148995588841992,0.0274616458231047,0.0104562592542247,,0.0915226390477264,0.0652889411486773,7,3,2026-05-21T00:50:26.803545+00:00,True,True,True,True,True,True
AK-47 | Blue Laminate (Field-Tested),ok,,best_deal,2026-04-17T00:36:03.552052+00:00,16.66,,50,True,8,-0.0057190881588307,-0.0011806375442738,17.14375,17.04375,1/1,23.1362,18.46,17.466,17.867,19.2,19.6353,14.452,311.575,218,5.761533873324049,9.376215627458269,4.296297576957322,0.946153846153846,4.36,-0.0340987681345485,0.1428729098835606,0.1261555193039696,0.0237746629542552,0.0548057872865286,0.1466441332689523,0.1466441332689523,7,3,2026-05-21T00:48:13.363801+00:00,True,True,True,True,True,True
AK-47 | Blue Laminate (Minimal Wear),ok,,best_deal,2026-04-17T00:36:08.843362+00:00,17.29,,50,True,8,-0.0045471924290417,-0.0043252595155709,17.43,17.35125,1/1,21.3171,19.92,18.983,19.524,21.296,24.55,17.248,96.336,211,8.312575350305616,26.11518452322314,4.395532225302697,0.952961847389558,4.22,-0.0341491046220234,0.0180307941653161,-0.0356705927507374,0.0018348035325338,,0.0913432835820894,0.0493034825870646,7,3,2026-05-21T00:42:22.704730+00:00,True,True,True,True,True,True
AK-47 | Breakthrough (Field-Tested),ok,,best_deal,2026-04-17T00:36:39.932622+00:00,4.86,,50,True,8,-0.025605015754946,-0.0010288065843621,4.96375,4.84,1/1,4.2151,4.239,3.883,3.992,4.392,4.555,3.788,4.962,2286,9.48969182225808,15.942682261393555,8.445825721809681,0.9160179287567825,45.72,-0.0766732162909559,-0.0863529411764706,-0.0654632972322503,-0.0230757761955616,-0.082494072258666,0.285346381663662,0.0,7,3,2026-05-21T02:32:38.320666+00:00,True,True,True,True,True,True
