item,status,error,sort_by,collected_at_utc,base_price,currency,n_listings,cap_hit,discount_sample_n,avg_discount,median_discount,avg_ask,avg_predicted,key_trace
★ Nomad Knife | Damascus Steel (Well-Worn),ok,,best_deal,2026-05-21T10:37:28.007286+00:00,129.03,,5,False,5,-0.1261702276269879,-0.1282237266279819,139.296,123.69,1/1->1/1
★ Nomad Knife | Doppler (Factory New),ok,,best_deal,2026-05-21T10:37:32.289608+00:00,1206.72,,50,True,8,0.0109426953664367,0.0099018403671184,709.365,716.28,1/1
★ Nomad Knife | Doppler (Minimal Wear),ok,,best_deal,2026-05-21T10:37:41.085668+00:00,431.53,,12,False,8,-0.108589615573003,-0.0786310820728665,754.11625,705.16375,1/1->1/1
★ Nomad Knife | Fade (Factory New),ok,,best_deal,2026-05-21T10:37:46.955412+00:00,286.79,,50,True,8,-0.0193514164585926,-0.0262202601187231,292.76875,287.25375,1/1
★ Nomad Knife | Fade (Minimal Wear),ok,,best_deal,2026-05-21T10:37:53.192504+00:00,354.63,,7,False,7,-1.6430757256262611,-0.2649687974363299,950.5714285714286,349.3985714285714,1/1->1/1
★ Nomad Knife | Forest DDPAT (Battle-Scarred),ok,,best_deal,2026-05-21T10:38:00.050035+00:00,80.09,,7,False,7,-0.6747014661860733,-0.2650679661451653,141.4442857142857,81.11285714285714,1/1->1/1
★ Nomad Knife | Forest DDPAT (Factory New),ok,,best_deal,2026-05-21T10:38:06.668817+00:00,195.46,,4,False,4,-0.2604871611418493,-0.2681327304032652,234.5,186.0925,1/1->1/1
★ Nomad Knife | Forest DDPAT (Field-Tested),ok,,best_deal,2026-05-21T10:38:15.006226+00:00,83.79,,28,False,8,-0.0651692130674915,-0.0723950656115276,88.06875,82.6825,1/1->1/1
★ Nomad Knife | Forest DDPAT (Minimal Wear),ok,,best_deal,2026-05-21T10:38:22.769522+00:00,101.62,,12,False,8,-0.1266977022005914,-0.1432929951732451,111.9225,99.335,1/1->1/1
★ Nomad Knife | Forest DDPAT (Well-Worn),ok,,best_deal,2026-05-21T10:38:29.155100+00:00,82.41,,1,False,1,-0.159242902208202,-0.159242902208202,91.87,79.25,1/1->1/1
★ Nomad Knife | Marble Fade (Factory New),ok,,best_deal,2026-05-21T10:38:35.223638+00:00,237.91,,50,True,8,-0.0128603499977861,-0.01302434009504,239.45,236.425,1/1
★ Nomad Knife | Marble Fade (Minimal Wear),ok,,best_deal,2026-05-21T10:38:42.128855+00:00,259.37,,7,False,7,-0.333734752818505,-0.0832687996739351,326.2742857142857,244.76571428571427,1/1->1/1
★ Nomad Knife | Night Stripe (Battle-Scarred),ok,,best_deal,2026-05-21T10:38:49.642715+00:00,94.08,,3,False,3,-0.319973586837003,-0.4250164437623329,120.05,90.95666666666666,1/1->1/1
★ Nomad Knife | Night Stripe (Factory New),ok,,best_deal,2026-05-21T10:38:57.515453+00:00,162.82,,2,False,2,-0.6397405111526677,-0.6397405111526677,255.22,154.76,1/1->1/1
★ Nomad Knife | Night Stripe (Field-Tested),ok,,best_deal,2026-05-21T10:39:05.691648+00:00,100.29,,27,False,8,-0.0516232619661588,-0.0484128686046224,104.08625,98.9475,1/1->1/1
★ Nomad Knife | Night Stripe (Minimal Wear),ok,,best_deal,2026-05-21T10:39:14.824391+00:00,110.33,,7,False,7,-0.2961158490133438,-0.1853725456572066,141.51,109.29142857142855,1/1->1/1
★ Nomad Knife | Night Stripe (Well-Worn),ok,,best_deal,2026-05-21T10:39:24.634930+00:00,95.97,,2,False,2,-0.0962508008102922,-0.0962508008102922,102.01,93.06,1/1->1/1
★ Nomad Knife | Rust Coat (Battle-Scarred),ok,,best_deal,2026-05-21T10:39:30.473960+00:00,102.83,,50,True,8,-0.0160013308111195,-0.018737435389178,121.79,120.085,1/1
★ Nomad Knife | Rust Coat (Well-Worn),ok,,best_deal,2026-05-21T10:39:37.439264+00:00,109.82,,1,False,1,-0.0288265553722215,-0.0288265553722215,106.0,103.03,1/1->1/1
★ Nomad Knife | Safari Mesh (Battle-Scarred),ok,,best_deal,2026-05-21T10:39:44.211720+00:00,77.54,,11,False,8,-0.1196177695742174,-0.1258010086945249,83.7625,74.81875,1/1->1/1
★ Nomad Knife | Safari Mesh (Factory New),ok,,best_deal,2026-05-21T10:39:51.325468+00:00,126.34,,2,False,2,-0.2414996400246825,-0.2414996400246825,149.775,120.65,1/1->1/1
★ Nomad Knife | Safari Mesh (Field-Tested),ok,,best_deal,2026-05-21T10:39:58.284933+00:00,77.53,,17,False,8,-0.1034474682543343,-0.1045848069583336,84.0075,76.135,1/1->1/1
★ Nomad Knife | Safari Mesh (Minimal Wear),ok,,best_deal,2026-05-21T10:40:04.223756+00:00,92.26,,15,False,8,-0.0472103500893552,-0.0213670432934331,94.69875,90.3575,1/1->1/1
★ Nomad Knife | Safari Mesh (Well-Worn),ok,,best_deal,2026-05-21T10:40:12.116649+00:00,78.23,,4,False,4,-0.1451735514421313,-0.1437905033008297,85.95,75.055,1/1->1/1
★ Nomad Knife | Scorched (Battle-Scarred),ok,,best_deal,2026-05-21T10:40:18.680901+00:00,91.74,,5,False,5,-0.0669829728764629,-0.0757763975155281,94.982,89.02000000000001,1/1->1/1
★ Nomad Knife | Scorched (Factory New),ok,,best_deal,2026-05-21T10:40:26.532308+00:00,170.03,,1,False,1,-0.0753641545281824,-0.0753641545281824,169.8,157.9,1/1->1/1
★ Nomad Knife | Scorched (Field-Tested),ok,,best_deal,2026-05-21T10:40:33.408733+00:00,97.35,,30,False,8,-0.0284082699023327,-0.03387594128013,97.92375,95.22,1/1->1/1
★ Nomad Knife | Scorched (Minimal Wear),ok,,best_deal,2026-05-21T10:40:40.051479+00:00,111.09,,4,False,4,-0.0717883840648298,-0.0518496623401046,116.4,108.605,1/1->1/1
★ Nomad Knife | Scorched (Well-Worn),ok,,best_deal,2026-05-21T10:40:46.789609+00:00,95.13,,2,False,2,-0.12051734713794,-0.12051734713794,103.31,92.2,1/1->1/1
★ Nomad Knife | Slaughter (Factory New),ok,,best_deal,2026-05-21T10:40:53.731817+00:00,243.73,,47,False,8,-0.0661305069373743,-0.0601040366310567,257.77,241.775,1/1->1/1
★ Nomad Knife | Slaughter (Field-Tested),ok,,best_deal,2026-05-21T10:41:00.909714+00:00,209.94,,18,False,8,-0.1005485439234186,-0.0975244731626683,229.5025,208.4975,1/1->1/1
★ Nomad Knife | Slaughter (Minimal Wear),ok,,best_deal,2026-05-21T10:41:06.490738+00:00,215.99,,50,True,8,-0.0428597836253649,-0.045358243493752,226.545,217.2375,1/1
★ Nomad Knife | Stained (Battle-Scarred),ok,,best_deal,2026-05-21T10:41:13.720264+00:00,118.08,,16,False,8,-0.0349826517633937,-0.0241386360093464,122.27875,118.24625,1/1->1/1
★ Nomad Knife | Stained (Factory New),ok,,best_deal,2026-05-21T10:41:20.944887+00:00,193.29,,7,False,7,-0.2247280073245194,-0.1626169149304697,232.8614285714285,190.9028571428572,1/1->1/1
★ Nomad Knife | Stained (Field-Tested),ok,,best_deal,2026-05-21T10:41:28.937509+00:00,117.67,,27,False,8,-0.0607168038132856,-0.0630388207456064,123.62125,116.5375,1/1->1/1
★ Nomad Knife | Stained (Minimal Wear),ok,,best_deal,2026-05-21T10:41:35.539535+00:00,128.27,,8,False,8,-0.8788360618050313,-0.15742336195563,238.68,127.2975,1/1->1/1
★ Nomad Knife | Stained (Well-Worn),ok,,best_deal,2026-05-21T10:41:42.379733+00:00,116.58,,10,False,8,-0.1067237999666688,-0.0944108371608296,127.3525,115.07625,1/1->1/1
★ Nomad Knife | Tiger Tooth (Factory New),ok,,best_deal,2026-05-21T10:41:46.792573+00:00,197.26,,50,True,8,-0.010967580896687,-0.0119947496788125,201.3225,199.165,1/1
★ Nomad Knife | Tiger Tooth (Minimal Wear),ok,,best_deal,2026-05-21T10:41:54.386055+00:00,201.53,,10,False,8,-0.2984652386215412,-0.2465053202587106,248.33875,191.28625,1/1->1/1
★ Nomad Knife | Ultraviolet (Battle-Scarred),ok,,best_deal,2026-05-21T10:42:01.643192+00:00,110.0,,9,False,8,-0.317073184937076,-0.1636467269348693,142.58625,107.665,1/1->1/1
★ Nomad Knife | Ultraviolet (Factory New),ok,,best_deal,2026-05-21T10:42:09.695820+00:00,347.85,,7,False,7,-0.4197375966107071,-0.2728404140974145,481.79285714285714,338.8328571428571,1/1->1/1
★ Nomad Knife | Ultraviolet (Field-Tested),ok,,best_deal,2026-05-21T10:42:14.822514+00:00,116.7,,50,True,8,-0.0190055923068944,-0.0234745072708686,118.78125,116.59,1/1
★ Nomad Knife | Ultraviolet (Minimal Wear),ok,,best_deal,2026-05-21T10:42:22.706639+00:00,143.89,,25,False,8,-0.0496600039958314,-0.0458118658161254,149.62,142.54625,1/1->1/1
★ Nomad Knife | Ultraviolet (Well-Worn),ok,,best_deal,2026-05-21T10:42:30.220287+00:00,113.37,,9,False,8,-0.1175011274463751,-0.1014143775120131,123.41,110.44375,1/1->1/1
★ Nomad Knife | Urban Masked (Battle-Scarred),ok,,best_deal,2026-05-21T10:42:36.130832+00:00,91.2,,6,False,6,-0.1111371280342756,-0.1112417013932928,99.93166666666669,89.94,1/1->1/1
★ Nomad Knife | Urban Masked (Factory New),ok,,best_deal,2026-05-21T10:42:42.127094+00:00,279.0,,4,False,4,-0.1708544347174713,-0.1558967467938253,303.8125,259.56,1/1->1/1
★ Nomad Knife | Urban Masked (Field-Tested),ok,,best_deal,2026-05-21T10:42:49.813553+00:00,96.5,,35,False,8,-0.0546335411595311,-0.0592080378316897,102.54875,97.23125,1/1->1/1
★ Nomad Knife | Urban Masked (Minimal Wear),ok,,best_deal,2026-05-21T10:42:57.323907+00:00,116.11,,18,False,8,-0.0738304118128388,-0.0758501817531254,133.18,123.91375,1/1->1/1
★ Nomad Knife | Urban Masked (Well-Worn),ok,,best_deal,2026-05-21T10:43:05.876014+00:00,97.43,,5,False,5,-0.1275659906236889,-0.0931918470266861,107.51,95.344,1/1->1/1
★ Paracord Knife | Blue Steel (Battle-Scarred),ok,,best_deal,2026-05-21T10:43:12.747629+00:00,82.11,,7,False,7,-0.7630681661414355,-0.1840172239108408,152.48142857142858,83.15142857142857,1/1->1/1
★ Paracord Knife | Blue Steel (Factory New),ok,,best_deal,2026-05-21T10:43:22.831979+00:00,163.07,,4,False,4,-0.5087349343508885,-0.125646018584362,262.2,166.1575,1/1->1/1
★ Paracord Knife | Blue Steel (Field-Tested),ok,,best_deal,2026-05-21T10:43:33.464863+00:00,83.05,,36,False,8,-0.0118924833644672,-0.0101977968517182,82.18,81.21125,1/1->1/1
★ Paracord Knife | Blue Steel (Minimal Wear),ok,,best_deal,2026-05-21T10:43:40.035689+00:00,95.99,,20,False,8,-0.0199429217598282,-0.0207440067624082,95.56625,93.6975,1/1->1/1
★ Paracord Knife | Blue Steel (Well-Worn),ok,,best_deal,2026-05-21T10:43:46.569449+00:00,80.83,,9,False,8,-0.1000375378040379,-0.0262963512526572,86.48125,78.6125,1/1->1/1
★ Paracord Knife | Boreal Forest (Battle-Scarred),ok,,best_deal,2026-05-21T10:43:53.646084+00:00,48.58,,10,False,8,-0.2540947735693457,-0.1939176338519488,58.2375,46.4375,1/1->1/1
★ Paracord Knife | Boreal Forest (Factory New),ok,,best_deal,2026-05-21T10:44:01.160949+00:00,152.16,,4,False,4,-1.3586820469435803,-1.5146210145363908,360.55,150.745,1/1->1/1
★ Paracord Knife | Boreal Forest (Field-Tested),ok,,best_deal,2026-05-21T10:44:09.337376+00:00,47.97,,27,False,8,-0.0326235744428933,-0.0266574341396067,49.665,48.1,1/1->1/1
★ Paracord Knife | Boreal Forest (Minimal Wear),ok,,best_deal,2026-05-21T10:44:16.599899+00:00,55.18,,11,False,8,-0.3741370108212503,-0.3281878649467897,75.5575,55.0275,1/1->1/1
★ Paracord Knife | Boreal Forest (Well-Worn),ok,,best_deal,2026-05-21T10:44:24.047058+00:00,55.63,,12,False,8,-0.1446869813746817,-0.1703038067741809,60.73375,53.0575,1/1->1/1
★ Paracord Knife | Case Hardened (Battle-Scarred),ok,,best_deal,2026-05-21T10:44:29.715579+00:00,98.34,,50,True,8,-0.0292607280862313,-0.0194224120398617,101.2175,98.34,1/1
★ Paracord Knife | Case Hardened (Factory New),ok,,best_deal,2026-05-21T10:44:36.520329+00:00,220.88,,20,False,8,-0.1842120155740674,-0.1919141615356755,261.56875,220.88,1/1->1/1
★ Paracord Knife | Case Hardened (Field-Tested),ok,,best_deal,2026-05-21T10:44:41.373871+00:00,100.68,,50,True,8,-0.0137316249503376,-0.0165375446960666,102.0625,100.68,1/1
★ Paracord Knife | Case Hardened (Minimal Wear),ok,,best_deal,2026-05-21T10:44:46.125313+00:00,119.06,,50,True,8,-0.0131551318662858,-0.0073912313119435,120.62625,119.06,1/1
★ Paracord Knife | Case Hardened (Well-Worn),ok,,best_deal,2026-05-21T10:44:51.876166+00:00,104.82,,50,True,8,0.0025042930738408,-0.0006201106659035,104.5575,104.82,1/1
★ Paracord Knife | Crimson Web (Battle-Scarred),ok,,best_deal,2026-05-21T10:44:57.994066+00:00,97.76,,14,False,8,0.0082927591521941,0.0197305433641074,93.91625,94.70125,1/1->1/1
★ Paracord Knife | Crimson Web (Factory New),ok,,best_deal,2026-05-21T10:45:05.927010+00:00,1015.57,,3,False,3,-0.4370060576406721,-0.5613976243624292,1285.3066666666666,891.0233333333332,1/1->1/1
★ Paracord Knife | Crimson Web (Field-Tested),ok,,best_deal,2026-05-21T10:45:10.187938+00:00,90.47,,50,True,8,-0.0533098899637072,-0.0525525323151514,94.9725,90.16625,1/1
★ Paracord Knife | Crimson Web (Minimal Wear),ok,,best_deal,2026-05-21T10:45:16.385386+00:00,116.79,,25,False,8,-0.0412312601711761,-0.0404506469915668,118.60625,113.925,1/1->1/1
★ Paracord Knife | Crimson Web (Well-Worn),ok,,best_deal,2026-05-21T10:45:22.704934+00:00,97.38,,22,False,8,-0.0327392821129528,-0.0157981922576324,96.88875,93.81375,1/1->1/1
★ Paracord Knife | Damascus Steel (Battle-Scarred),ok,,best_deal,2026-05-21T10:45:30.517394+00:00,70.61,,4,False,4,-0.5446921192784158,-0.549285165114755,104.7925,67.8475,1/1->1/1
★ Paracord Knife | Damascus Steel (Factory New),ok,,best_deal,2026-05-21T10:45:37.627818+00:00,81.16,,35,False,8,-0.0191777349001721,-0.0138550845110151,81.03125,79.50625,1/1->1/1
★ Paracord Knife | Damascus Steel (Field-Tested),ok,,best_deal,2026-05-21T10:45:44.889849+00:00,61.11,,24,False,8,-0.0565056466676461,-0.0685845456244091,64.42625,60.9725,1/1->1/1
★ Paracord Knife | Damascus Steel (Minimal Wear),ok,,best_deal,2026-05-21T10:45:51.229621+00:00,71.12,,18,False,8,-0.0723203889774546,-0.0757667029389279,75.965,70.845,1/1->1/1
★ Paracord Knife | Damascus Steel (Well-Worn),ok,,best_deal,2026-05-21T10:45:58.525474+00:00,67.39,,7,False,7,-0.5173925767236794,-0.387016229712859,96.6842857142857,63.71571428571429,1/1->1/1
★ Paracord Knife | Doppler (Factory New),ok,,best_deal,2026-05-21T10:46:03.659506+00:00,426.43,,50,True,8,0.0036919042262514,0.0008438514206189,420.35375,421.7125,1/1
★ Paracord Knife | Doppler (Minimal Wear),ok,,best_deal,2026-05-21T10:46:11.322931+00:00,680.0,,25,False,8,-0.1011793957697684,-0.0542076240786341,596.0825,561.21125,1/1->1/1
★ Paracord Knife | Fade (Factory New),ok,,best_deal,2026-05-21T10:46:15.258443+00:00,158.37,,50,True,8,-0.0156738476446208,-0.0180328683592236,173.6,170.90875,1/1
★ Paracord Knife | Fade (Minimal Wear),ok,,best_deal,2026-05-21T11:47:41.023167+00:00,249.21,,13,False,8,-0.0745482794624531,-0.110578253647887,254.99875,237.1475,1/1->1/1
★ Paracord Knife | Forest DDPAT (Battle-Scarred),ok,,best_deal,2026-05-21T11:47:47.027501+00:00,51.76,,8,False,8,-0.5004129592690059,-0.1779446879811052,82.465,52.63125,1/1->1/1
★ Paracord Knife | Forest DDPAT (Factory New),ok,,best_deal,2026-05-21T11:47:54.729253+00:00,98.01,,2,False,2,-1.4533917849626667,-1.4533917849626667,246.205,98.89,1/1->1/1
★ Paracord Knife | Forest DDPAT (Field-Tested),ok,,best_deal,2026-05-21T11:48:02.205810+00:00,46.85,,23,False,8,-0.0707549815185455,-0.0654902855322137,50.2175,46.905,1/1->1/1
★ Paracord Knife | Forest DDPAT (Minimal Wear),ok,,best_deal,2026-05-21T11:48:09.182542+00:00,50.42,,8,False,8,-0.3811831705734912,-0.1585352191037987,70.99000000000001,51.08,1/1->1/1
★ Paracord Knife | Forest DDPAT (Well-Worn),ok,,best_deal,2026-05-21T11:48:19.415485+00:00,50.46,,6,False,6,-0.0843361954746799,-0.0806317539484622,52.056666666666665,48.00833333333333,1/1->1/1
★ Paracord Knife | Marble Fade (Factory New),ok,,best_deal,2026-05-21T11:48:24.272756+00:00,140.09,,50,True,8,-0.0014350965137876,-0.0037326697476003,138.845,138.64249999999998,1/1
★ Paracord Knife | Marble Fade (Minimal Wear),ok,,best_deal,2026-05-21T11:48:31.277885+00:00,181.1,,8,False,8,-0.7765943487171297,-0.1523575348594512,301.58875,170.58875,1/1->1/1
★ Paracord Knife | Night Stripe (Battle-Scarred),ok,,best_deal,2026-05-21T11:48:38.552976+00:00,54.83,,11,False,8,-0.1356976603911023,-0.0992950547904109,59.2825,52.205,1/1->1/1
★ Paracord Knife | Night Stripe (Factory New),ok,,best_deal,2026-05-21T11:48:46.017451+00:00,242.31,,5,False,5,-0.6472050496787299,-0.2389838222516447,404.282,240.046,1/1->1/1
★ Paracord Knife | Night Stripe (Field-Tested),ok,,best_deal,2026-05-21T11:48:52.427363+00:00,53.68,,29,False,8,-0.070839734832977,-0.0753145691774982,57.14875,53.3725,1/1->1/1
★ Paracord Knife | Night Stripe (Minimal Wear),ok,,best_deal,2026-05-21T11:48:58.153736+00:00,62.43,,9,False,8,-0.227378804001131,-0.1101671179299222,76.08375,62.0175,1/1->1/1
★ Paracord Knife | Night Stripe (Well-Worn),ok,,best_deal,2026-05-21T11:49:04.844223+00:00,57.47,,8,False,8,-0.2456061387046288,-0.2612019122766176,67.64,54.305,1/1->1/1
★ Paracord Knife | Rust Coat (Battle-Scarred),ok,,best_deal,2026-05-21T11:49:09.315223+00:00,45.95,,50,True,8,-0.0067990475596443,-0.0004212425844014,46.3975,46.08625,1/1
★ Paracord Knife | Rust Coat (Well-Worn),ok,,best_deal,2026-05-21T11:49:17.106942+00:00,54.28,,9,False,8,-0.3425186551405322,-0.3077909129753595,69.91,52.00625,1/1->1/1
★ Paracord Knife | Safari Mesh (Battle-Scarred),ok,,best_deal,2026-05-21T11:49:23.384544+00:00,48.1,,8,False,8,-0.9443996704022932,-0.4846521115443771,97.05125,48.19625,1/1->1/1
★ Paracord Knife | Safari Mesh (Factory New),ok,,best_deal,2026-05-21T11:49:31.450489+00:00,102.71,,4,False,4,-1.2351852493789237,-1.0910486583753094,239.535,104.6425,1/1->1/1
★ Paracord Knife | Safari Mesh (Field-Tested),ok,,best_deal,2026-05-21T11:49:38.713853+00:00,45.56,,26,False,8,-0.0860313938261367,-0.0883234232894647,48.92625,45.0475,1/1->1/1
★ Paracord Knife | Safari Mesh (Minimal Wear),ok,,best_deal,2026-05-21T11:49:46.866972+00:00,49.48,,11,False,8,-0.235180715429621,-0.1700220083273913,59.5675,48.23125,1/1->1/1
★ Paracord Knife | Safari Mesh (Well-Worn),ok,,best_deal,2026-05-21T11:49:55.276222+00:00,49.42,,2,False,2,-0.3496526471864348,-0.3496526471864348,62.47,46.290000000000006,1/1->1/1
★ Paracord Knife | Scorched (Battle-Scarred),ok,,best_deal,2026-05-21T11:50:02.214953+00:00,47.65,,8,False,8,-0.4503292831816365,-0.512963242679109,65.78375,45.3925,1/1->1/1
