item,base_price,reference_currency,float_qty,n_listings,ask_min,ask_median,ask_max,pred_mean,pred_std,pred_cv,pred_min,pred_max,factor_mean,factor_std,factor_cv
Dual Berettas | Flora Carnivora (Factory New),8.64,,358,123,8.78,12.35,111.0,10.7275,1.8082,0.1686,8.77,15.4,1.2416,0.2093,0.1686
M4A4 | Converter (Factory New),3.06,,3708,400,3.04,5.415,5600.0,4.1588,9.3938,2.2587,3.13,190.41,1.3591,3.0699,2.2587
AWP | Asiimov (Battle-Scarred),80.33,,1534,400,80.33,205.785,10000.0,179.5199,124.5409,0.6937,78.44,433.09,2.2348,1.5504,0.6937
P2000 | Imperial (Factory New),3.98,,474,165,3.87,5.12,10204.09,4.543,0.7838,0.1725,3.8,6.45,1.1415,0.1969,0.1725
Five-SeveN | Urban Hazard (Factory New),5.54,,538,194,5.68,10.305,491.03,6.3598,2.3426,0.3683,5.66,35.86,1.148,0.4228,0.3683
MAC-10 | Button Masher (Factory New),12.53,,147,37,12.19,15.77,100.0,15.5127,2.7431,0.1768,12.37,19.83,1.238,0.2189,0.1768
R8 Revolver | Llama Cannon (Field-Tested),9.93,,182,87,9.71,11.24,100.0,10.5052,0.8868,0.0844,9.71,12.25,1.0579,0.0893,0.0844
MP7 | Asterion (Factory New),27.93,,106,57,26.69,40.0,1500.0,34.2658,8.6991,0.2539,27.49,74.34,1.2268,0.3115,0.2539
P2000 | Amber Fade (Factory New),3.73,,1248,321,3.71,12.87,2800.0,4.6247,1.0044,0.2172,3.86,12.81,1.2399,0.2693,0.2172
MAG-7 | Carbon Fiber (Factory New),4.85,,1305,234,5.03,6.78,912.21,5.7661,0.8862,0.1537,5.01,7.78,1.1889,0.1827,0.1537
Five-SeveN | Kami (Factory New),10.61,,641,203,10.21,23.0,1666.0,11.5598,1.9757,0.1709,10.67,31.58,1.0895,0.1862,0.1709
R8 Revolver | Banana Cannon (Factory New),7.51,,336,128,7.37,11.42,58.0,9.2124,1.8756,0.2036,7.5,13.58,1.2267,0.2497,0.2036
SG 553 | Darkwing (Factory New),9.44,,221,46,9.54,17.99,130.0,12.2165,2.5513,0.2088,9.46,16.23,1.2941,0.2703,0.2088
Nova | Yorkshire (Factory New),3.45,,253,400,4.25,6.5,129.0,4.4986,0.7547,0.1678,3.81,6.18,1.3039,0.2187,0.1678
Galil AR | Crimson Tsunami (Factory New),17.61,,338,77,18.96,24.99,346.75,20.3236,3.8911,0.1915,18.09,30.95,1.1541,0.221,0.1915
M4A4 | Temukau (Minimal Wear),62.15,,1136,311,63.08,88.0,10204.09,77.2444,11.1232,0.144,61.76,98.07,1.2429,0.179,0.144
Sawed-Off | Devourer (Field-Tested),4.64,,206,65,4.52,5.85,135.0,5.0831,0.7411,0.1458,4.41,6.41,1.0955,0.1597,0.1458
AK-47 | Asiimov (Field-Tested),43.14,,2341,400,42.21,53.5,4500.0,46.0501,4.3355,0.0941,41.65,59.41,1.0675,0.1005,0.0941
Dual Berettas | Urban Shock (Factory New),12.74,,122,33,12.5,20.0,800.0,14.4109,3.0006,0.2082,12.23,20.73,1.1312,0.2355,0.2082
AUG | Syd Mead (Minimal Wear),12.1,,365,88,11.75,16.89,57.68,13.7473,1.6835,0.1225,11.71,16.6,1.1361,0.1391,0.1225
P90 | Shapewood (Field-Tested),9.47,,193,58,9.26,10.375,237.1,9.824,0.7532,0.0767,9.22,11.62,1.0374,0.0795,0.0767
AK-47 | Emerald Pinstripe (Minimal Wear),4.45,,672,216,4.5,10.565,3050.0,4.9388,1.8163,0.3678,4.51,30.63,1.1098,0.4082,0.3678
MAC-10 | Echoing Sands (Factory New),8.42,,167,62,8.09,10.5,100.0,9.4926,0.806,0.0849,8.49,11.79,1.1274,0.0957,0.0849
AWP | Mortis (Minimal Wear),5.7,,1207,309,5.55,8.02,751.99,6.0949,0.4811,0.0789,5.82,7.68,1.0693,0.0844,0.0789
MP7 | Abyssal Apparition (Minimal Wear),9.05,,648,208,8.76,10.55,117.35,9.8053,1.1475,0.117,8.81,12.38,1.0835,0.1268,0.117
SSG 08 | Abyss (Factory New),8.53,,1089,152,8.56,17.675,1542.48,9.0991,0.9087,0.0999,8.44,13.06,1.0667,0.1065,0.0999
M4A1-S | Leaded Glass (Field-Tested),10.02,,1323,382,9.94,11.0,335.0,10.3013,0.453,0.044,10.01,14.77,1.0281,0.0452,0.044
