item,needs_backfill,model_ready,backfill_reason,has_summary,summary_ready,summary_n_listings,has_fit,fit_ready,fit_n_clean,pred_cv,pred_mean,pred_min,pred_max
Dual Berettas | Twin Turbo (Minimal Wear),False,True,,True,True,90,True,True,89,0.0887,7.7259,7.19,9.44
Glock-18 | Bullet Queen (Field-Tested),False,True,,True,True,90,True,True,89,0.0549,61.0603,58.62,72.74
★ Falchion Knife | Tiger Tooth (Factory New),False,True,,True,True,90,True,True,89,0.0332,149.7808,144.64,176.46
AWP | Queen's Gambit (Well-Worn),False,True,,True,True,90,True,True,90,0.0016,62.5523,62.54,63.48
StatTrak™ MP9 | Starlight Protector (Field-Tested),False,True,,True,True,90,True,True,90,0.086,60.4916,56.29,74.05
Desert Eagle | Conspiracy (Field-Tested),False,True,,True,True,91,True,True,90,0.0179,19.6382,19.29,22.55
Glock-18 | Fully Tuned (Well-Worn),False,True,,True,True,91,True,True,90,0.0083,61.6709,61.61,66.44
UMP-45 | Wild Child (Factory New),False,True,,True,True,91,True,True,90,0.2317,34.1848,25.78,46.96
Glock-18 | Snack Attack (Field-Tested),False,True,,True,True,92,True,True,85,0.0749,17.4416,16.57,22.85
MAC-10 | Sienna Damask (Factory New),False,True,,True,True,93,True,True,90,0.2284,3.4534,2.94,5.44
AWP | Chrome Cannon (Battle-Scarred),False,True,,True,True,93,True,True,92,0.1027,28.9269,27.17,37.61
AUG | Chameleon (Minimal Wear),False,True,,True,True,94,True,True,94,0.0199,81.1936,79.35,85.1
USP-S | Cortex (Battle-Scarred),False,True,,True,True,95,True,True,86,0.1262,3.8604,3.56,5.35
UMP-45 | Momentum (Field-Tested),False,True,,True,True,95,True,True,95,0.0729,4.8495,4.36,5.35
★ Hand Wraps | Giraffe (Field-Tested),False,True,,True,True,95,True,True,95,0.0632,49.7019,46.43,54.94
★ Paracord Knife | Tiger Tooth (Factory New),False,True,,True,True,95,True,True,95,0.0411,116.062,113.26,142.62
MP5-SD | Phosphor (Field-Tested),False,True,,True,True,96,True,True,95,0.0822,4.5002,4.25,5.52
StatTrak™ Desert Eagle | Light Rail (Field-Tested),False,True,,True,True,97,True,True,91,0.0936,3.763,3.54,5.19
AK-47 | Orbit Mk01 (Field-Tested),False,True,,True,True,97,True,True,95,0.018,30.7143,30.04,33.85
AK-47 | Nightwish (Well-Worn),False,True,,True,True,97,True,True,96,0.0085,67.7999,66.9,72.67
Nova | Rising Sun (Factory New),False,True,,True,True,97,True,True,96,0.1804,8.8051,7.06,11.7
P90 | Deathgaze (Field-Tested),False,True,,True,True,97,True,True,97,0.012,6.4392,6.4,6.59
StatTrak™ USP-S | Cortex (Minimal Wear),False,True,,True,True,98,True,True,93,0.0483,14.9914,14.12,18.68
MP7 | Just Smile (Factory New),False,True,,True,True,98,True,True,96,0.216,10.8139,7.8,15.22
MP9 | Starlight Protector (Minimal Wear),False,True,,True,True,98,True,True,97,0.03,77.3183,75.34,84.94
StatTrak™ Glock-18 | Water Elemental (Field-Tested),False,True,,True,True,98,True,True,98,0.0387,24.3492,23.49,27.99
StatTrak™ AWP | PAW (Factory New),False,True,,True,True,99,True,True,94,0.27,16.3558,14.09,44.27
Galil AR | Rocket Pop (Factory New),False,True,,True,True,99,True,True,95,2.1656,28.1544,17.82,627.72
StatTrak™ AWP | Phobos (Factory New),False,True,,True,True,99,True,True,95,0.178,9.4497,8.42,15.51
AK-47 | Nightwish (Battle-Scarred),False,True,,True,True,99,True,True,99,0.1236,74.3932,66.17,113.88
MP5-SD | Kitbash (Factory New),False,True,,True,True,100,True,True,98,0.2333,5.48,4.09,7.5
P90 | Verdant Growth (Factory New),False,True,,True,True,100,True,True,98,0.1907,10.113,9.12,17.48
MP9 | Airlock (Field-Tested),False,True,,True,True,101,True,True,101,0.0757,12.111,11.47,15.14
★ Hand Wraps | Constrictor (Field-Tested),False,True,,True,True,101,True,True,101,0.0633,54.9795,51.55,60.89
MAC-10 | Disco Tech (Minimal Wear),False,True,,True,True,102,True,True,95,0.1046,8.9987,8.3,13.19
★ Hydra Gloves | Mangrove (Field-Tested),False,True,,True,True,102,True,True,102,0.0314,36.9829,35.46,38.93
USP-S | Neo-Noir (Minimal Wear),False,True,,True,True,104,True,True,100,0.028,91.1428,87.68,100.7
P2000 | Imperial Dragon (Field-Tested),False,True,,True,True,104,True,True,104,0.0621,12.6178,11.74,13.83
★ Survival Knife | Tiger Tooth (Factory New),False,True,,True,True,104,True,True,104,0.0291,112.0248,110.15,134.08
AWP | Exoskeleton (Battle-Scarred),False,True,,True,True,105,True,True,101,0.1654,5.6174,4.75,8.66
Glock-18 | Mirror Mosaic (Well-Worn),False,True,,True,True,106,True,True,101,0.0144,6.8604,6.43,7.17
P90 | Wave Breaker (Factory New),False,True,,True,True,106,True,True,103,0.1812,8.7005,7.24,11.68
AWP | Chrome Cannon (Well-Worn),False,True,,True,True,107,True,True,102,0.0166,27.6142,27.21,31.33
SSG 08 | Bloodshot (Field-Tested),False,True,,True,True,107,True,True,107,0.1847,22.6851,19.0,33.62
M4A1-S | Control Panel (Well-Worn),False,True,,True,True,108,True,True,104,0.0167,5.6801,5.63,6.49
StatTrak™ Glock-18 | Grinder (Minimal Wear),False,True,,True,True,108,True,True,105,0.03,7.257,6.83,7.96
StatTrak™ M4A4 | Tooth Fairy (Minimal Wear),False,True,,True,True,108,True,True,107,0.1393,14.0895,12.1,18.05
Desert Eagle | Firebreathing (Factory New),False,True,,True,True,109,True,True,105,0.1422,9.1137,8.88,19.18
AWP | Hyper Beast (Battle-Scarred),False,True,,True,True,109,True,True,107,0.2017,40.2615,34.15,60.26
P2000 | Wicked Sick (Factory New),False,True,,True,True,109,True,True,107,0.2252,32.7086,24.74,46.5
SG 553 | Pulse (Minimal Wear),False,True,,True,True,109,True,True,107,0.1497,8.4497,7.72,14.2
AUG | Syd Mead (Field-Tested),False,True,,True,True,110,True,True,110,0.0923,12.7981,11.32,14.55
Desert Eagle | Light Rail (Factory New),False,True,,True,True,111,True,True,108,0.1523,20.0704,16.97,26.95
Dual Berettas | Melondrama (Factory New),False,True,,True,True,111,True,True,108,0.2354,33.8758,25.74,47.87
StatTrak™ AWP | PAW (Field-Tested),False,True,,True,True,112,True,True,105,0.0277,7.1079,6.91,8.2
R8 Revolver | Crazy 8 (Factory New),False,True,,True,True,112,True,True,111,0.1441,10.3373,8.12,13.94
StatTrak™ P90 | Wave Breaker (Factory New),False,True,,True,True,112,True,True,111,0.1765,8.8504,6.9,11.86
P250 | See Ya Later (Field-Tested),False,True,,True,True,112,True,True,112,0.0454,103.0722,97.46,114.36
★ Huntsman Knife | Lore (Field-Tested),False,True,,True,True,112,True,True,112,0.032,100.5796,96.87,107.67
StatTrak™ USP-S | Printstream (Field-Tested),False,True,,True,True,113,True,True,108,0.1392,68.4342,59.8,89.26
P90 | Shallow Grave (Field-Tested),False,True,,True,True,113,True,True,111,0.099,38.5348,34.47,45.7
★ Paracord Knife | Marble Fade (Factory New),False,True,,True,True,113,True,True,113,0.0455,138.8065,135.75,172.08
StatTrak™ P250 | Visions (Minimal Wear),False,True,,True,True,114,True,True,112,0.2097,9.1681,6.72,20.18
MAC-10 | Neon Rider (Field-Tested),False,True,,True,True,114,True,True,114,0.0109,114.8073,112.06,118.69
Sawed-Off | Kiss♥Love (Factory New),False,True,,True,True,114,True,True,114,0.2138,34.7043,26.15,45.68
★ Hydra Gloves | Rattler (Field-Tested),False,True,,True,True,114,True,True,114,0.0258,36.2732,34.94,38.12
StatTrak™ AWP | Duality (Minimal Wear),False,True,,True,True,115,True,True,110,0.1457,12.7625,10.71,15.78
StatTrak™ Desert Eagle | Mecha Industries (Field-Tested),False,True,,True,True,115,True,True,110,0.0304,13.094,12.52,15.58
StatTrak™ Glock-18 | Vogue (Minimal Wear),False,True,,True,True,116,True,True,111,0.136,12.8959,11.22,16.34
StatTrak™ USP-S | Torque (Factory New),False,True,,True,True,116,True,True,111,0.2127,4.8081,4.32,11.44
USP-S | Printstream (Battle-Scarred),False,True,,True,True,116,True,True,112,0.0366,34.8744,34.07,44.8
StatTrak™ M4A4 | Tooth Fairy (Field-Tested),False,True,,True,True,116,True,True,113,0.1121,7.5254,7.03,10.37
Galil AR | Chromatic Aberration (Minimal Wear),False,True,,True,True,116,True,True,114,0.0652,8.3999,8.06,10.88
★ Hand Wraps | Arboreal (Field-Tested),False,True,,True,True,118,True,True,118,0.0762,50.4097,46.61,57.87
StatTrak™ AWP | PAW (Minimal Wear),False,True,,True,True,119,True,True,116,0.0326,8.4883,8.28,9.41
★ Survival Knife | Marble Fade (Factory New),False,True,,True,True,119,True,True,118,0.0425,135.2062,131.68,162.26
AWP | Exoskeleton (Field-Tested),False,True,,True,True,120,True,True,118,0.0899,5.8479,5.66,10.85
MP7 | Nemesis (Minimal Wear),False,True,,True,True,120,True,True,118,0.1516,9.4647,8.05,13.35
Five-SeveN | Violent Daimyo (Factory New),False,True,,True,True,120,True,True,120,0.2197,4.4663,3.52,6.38
FAMAS | Mecha Industries (Field-Tested),False,True,,True,True,121,True,True,120,0.0203,35.0771,33.67,37.44
Glock-18 | Bunsen Burner (Factory New),False,True,,True,True,122,True,True,118,0.1979,11.3507,9.57,26.49
Dual Berettas | Melondrama (Well-Worn),False,True,,True,True,122,True,True,122,0.0075,6.4451,6.37,6.62
Dual Berettas | Flora Carnivora (Factory New),False,True,,True,True,123,True,True,121,0.1686,10.7275,8.77,15.4
M4A4 | Griffin (Field-Tested),False,True,,True,True,124,True,True,123,0.0688,3.9005,3.71,4.62
AK-47 | Nightwish (Minimal Wear),False,True,,True,True,125,True,True,123,0.0336,78.4655,76.53,92.6
StatTrak™ Glock-18 | Shinobu (Field-Tested),False,True,,True,True,126,True,True,120,0.1282,9.0865,8.49,16.83
★ Nomad Knife | Tiger Tooth (Factory New),False,True,,True,True,126,True,True,125,0.0339,195.6353,191.27,233.45
MP9 | Hydra (Minimal Wear),False,True,,True,True,127,True,True,125,0.0988,12.4176,11.97,22.77
UMP-45 | Crimson Foil (Battle-Scarred),False,True,,True,True,127,True,True,126,0.021,4.5041,4.27,5.32
StatTrak™ Desert Eagle | Printstream (Field-Tested),False,True,,True,True,128,True,True,122,0.0915,66.0388,60.08,83.66
R8 Revolver | Banana Cannon (Factory New),False,True,,True,True,128,True,True,125,0.2036,9.2124,7.5,13.58
Glock-18 | Neo-Noir (Field-Tested),False,True,,True,True,128,True,True,127,0.0717,41.658,39.23,50.26
StatTrak™ Dual Berettas | Melondrama (Field-Tested),False,True,,True,True,128,True,True,128,0.1452,6.3434,5.54,8.03
M4A4 | Full Throttle (Minimal Wear),False,True,,True,True,129,True,True,119,0.0541,93.0808,87.88,122.27
SG 553 | Integrale (Field-Tested),False,True,,True,True,129,True,True,126,0.1958,10.3175,8.6,14.85
StatTrak™ P250 | Visions (Field-Tested),False,True,,True,True,129,True,True,128,0.1619,5.1637,4.08,6.34
R8 Revolver | Skull Crusher (Field-Tested),False,True,,True,True,131,True,True,129,0.0738,10.4282,9.58,13.09
Desert Eagle | Printstream (Battle-Scarred),False,True,,True,True,131,True,True,130,0.0378,37.115,35.67,46.99
MP9 | Latte Rush (Field-Tested),False,True,,True,True,132,True,True,127,0.1692,39.983,33.36,54.99
XM1014 | XOXO (Minimal Wear),False,True,,True,True,132,True,True,129,0.126,7.4387,6.72,9.76
UMP-45 | Primal Saber (Minimal Wear),False,True,,True,True,132,True,True,132,0.1313,14.9772,12.82,18.62
UMP-45 | Wild Child (Minimal Wear),False,True,,True,True,132,True,True,132,0.2111,8.1068,6.62,10.89
AWP | Crakow! (Well-Worn),False,True,,True,True,133,True,True,130,0.0286,24.9582,24.66,31.65
StatTrak™ AK-47 | Ice Coaled (Minimal Wear),False,True,,True,True,134,True,True,125,0.0932,20.2559,19.38,38.35
Desert Eagle | Code Red (Field-Tested),False,True,,True,True,134,True,True,133,0.0581,45.9578,43.63,54.66
AK-47 | Nightwish (Factory New),False,True,,True,True,135,True,True,128,0.1159,124.3645,113.99,172.24
StatTrak™ Zeus x27 | Olympus (Minimal Wear),False,True,,True,True,135,True,True,130,0.18,12.9582,9.64,19.33
MP7 | Bloodsport (Field-Tested),False,True,,True,True,135,True,True,134,0.033,37.7276,36.04,40.32
XM1014 | Incinegator (Field-Tested),False,True,,True,True,136,True,True,134,0.19,7.4893,5.66,9.6
StatTrak™ AWP | Mortis (Field-Tested),False,True,,True,True,137,True,True,130,0.1095,7.4622,7.16,14.46
StatTrak™ USP-S | Jawbreaker (Field-Tested),False,True,,True,True,137,True,True,130,0.274,10.674,9.79,42.1
M4A4 | Turbine (Minimal Wear),False,True,,True,True,137,True,True,134,0.0922,4.1531,3.76,5.65
StatTrak™ AWP | Worm God (Field-Tested),False,True,,True,True,139,True,True,133,0.0191,5.9688,5.86,6.68
StatTrak™ Zeus x27 | Olympus (Field-Tested),False,True,,True,True,139,True,True,135,0.1559,6.502,5.65,13.71
AWP | Green Energy (Factory New),False,True,,True,True,140,True,True,130,0.1994,106.5141,86.11,226.2
AWP | Chrome Cannon (Minimal Wear),False,True,,True,True,140,True,True,133,0.0801,41.6596,39.99,73.63
Galil AR | Blue Titanium (Factory New),False,True,,True,True,141,True,True,134,0.1158,17.8701,16.45,26.56
AK-47 | The Empress (Minimal Wear),False,True,,True,True,142,True,True,133,0.3428,97.8185,91.13,492.56
AWP | Queen's Gambit (Field-Tested),False,True,,True,True,142,True,True,140,0.0118,74.2368,74.11,83.18
StatTrak™ M4A1-S | Black Lotus (Minimal Wear),False,True,,True,True,143,True,True,135,0.0722,24.5236,23.01,30.69
★ Kukri Knife | Crimson Web (Field-Tested),False,True,,True,True,144,True,True,144,0.0606,96.3822,89.0,107.88
AK-47 | Searing Rage (Factory New),False,True,,True,True,145,True,True,133,0.1832,44.9889,39.87,99.29
USP-S | Cortex (Well-Worn),False,True,,True,True,145,True,True,143,0.1362,3.5813,3.51,9.41
USP-S | Neo-Noir (Field-Tested),False,True,,True,True,145,True,True,144,0.031,99.0411,96.24,110.53
AWP | Printstream (Well-Worn),False,True,,True,True,146,True,True,138,0.0897,45.5013,44.47,93.72
MP9 | Ruby Poison Dart (Factory New),False,True,,True,True,146,True,True,141,0.177,10.3305,9.08,14.87
MAC-10 | Neon Rider (Minimal Wear),False,True,,True,True,146,True,True,144,1.1845,127.6554,112.99,1942.11
★ Broken Fang Gloves | Yellow-banded (Field-Tested),False,True,,True,True,146,True,True,146,0.0618,59.361,55.47,66.24
StatTrak™ Glock-18 | Vogue (Field-Tested),False,True,,True,True,148,True,True,142,0.1659,6.7293,6.17,17.36
AWP | Green Energy (Minimal Wear),False,True,,True,True,148,True,True,145,0.0717,27.9753,26.33,35.97
M4A1-S | Leaded Glass (Factory New),False,True,,True,True,148,True,True,146,0.1557,52.5251,47.11,72.45
StatTrak™ M4A1-S | Emphorosaur-S (Factory New),False,True,,True,True,149,True,True,142,0.1538,8.7132,7.53,12.2
★ Broken Fang Gloves | Unhinged (Field-Tested),False,True,,True,True,149,True,True,149,0.061,63.672,59.91,72.34
USP-S | Jawbreaker (Battle-Scarred),False,True,,True,True,150,True,True,145,0.1402,3.9108,3.59,5.59
SSG 08 | Fever Dream (Factory New),False,True,,True,True,151,True,True,151,0.1882,5.289,4.67,8.06
Sawed-Off | Kiss♥Love (Minimal Wear),False,True,,True,True,153,True,True,153,0.1778,8.071,6.69,10.3
★ Broken Fang Gloves | Jade (Field-Tested),False,True,,True,True,153,True,True,153,0.0564,97.0799,90.81,107.8
AK-47 | Ice Coaled (Battle-Scarred),False,True,,True,True,154,True,True,139,0.1161,4.636,4.31,9.33
AK-47 | Rat Rod (Field-Tested),False,True,,True,True,154,True,True,148,0.0567,4.8597,4.69,6.92
MAG-7 | Navy Sheen (Factory New),False,True,,True,True,154,True,True,149,0.2456,1.8776,1.5,2.97
P90 | Module (Factory New),False,True,,True,True,154,True,True,152,0.1587,2.5488,2.31,3.82
StatTrak™ SG 553 | Pulse (Field-Tested),False,True,,True,True,156,True,True,155,0.1767,4.8273,4.14,6.63
M4A4 | Full Throttle (Field-Tested),False,True,,True,True,158,True,True,140,0.1821,48.3767,41.52,91.21
SG 553 | Dragon Tech (Factory New),False,True,,True,True,158,True,True,156,0.2385,3.7385,2.83,5.12
Zeus x27 | Dragon Snore (Minimal Wear),False,True,,True,True,159,True,True,159,0.1205,39.4847,34.25,47.94
AK-47 | Emerald Pinstripe (Well-Worn),False,True,,True,True,160,True,True,148,0.0316,2.5317,2.5,3.38
AWP | Crakow! (Battle-Scarred),False,True,,True,True,160,True,True,151,0.1885,29.8671,25.52,45.5
AWP | Elite Build (Field-Tested),False,True,,True,True,161,True,True,157,0.0407,14.4016,13.97,18.3
★ Driver Gloves | Racing Green (Field-Tested),False,True,,True,True,161,True,True,161,0.0955,39.5024,35.83,46.96
M4A4 | Spider Lily (Field-Tested),False,True,,True,True,163,True,True,156,0.0715,9.1282,8.58,11.72
P250 | Epicenter (Field-Tested),False,True,,True,True,163,True,True,161,0.1411,6.524,5.43,8.01
USP-S | Jawbreaker (Well-Worn),False,True,,True,True,164,True,True,156,0.0488,3.614,3.55,5.48
AWP | Neo-Noir (Minimal Wear),False,True,,True,True,164,True,True,157,0.0633,46.5923,45.1,77.14
M4A1-S | Atomic Alloy (Field-Tested),False,True,,True,True,164,True,True,158,0.1015,33.5431,32.23,62.6
AWP | Black Nile (Field-Tested),False,True,,True,True,165,True,True,150,0.0707,3.5467,3.39,4.76
Desert Eagle | Kumicho Dragon (Field-Tested),False,True,,True,True,165,True,True,162,0.0322,20.7144,20.08,23.13
FAMAS | Rapid Eye Movement (Well-Worn),False,True,,True,True,166,True,True,166,0.0082,6.6092,6.53,6.82
AK-47 | Neon Rider (Minimal Wear),False,True,,True,True,167,True,True,154,0.0447,78.3437,75.03,90.03
AWP | Duality (Battle-Scarred),False,True,,True,True,167,True,True,156,0.1602,3.6671,3.3,7.36
AK-47 | Redline (Battle-Scarred),False,True,,True,True,167,True,True,160,0.1202,30.1431,28.96,74.35
AWP | Sun in Leo (Field-Tested),False,True,,True,True,167,True,True,164,0.0938,22.6899,21.81,48.22
M4A4 | Polysoup (Field-Tested),False,True,,True,True,167,True,True,164,0.096,15.1051,13.98,18.97
★ Specialist Gloves | Buckshot (Field-Tested),False,True,,True,True,168,True,True,168,0.0921,60.116,53.76,71.34
AWP | Black Nile (Minimal Wear),False,True,,True,True,169,True,True,164,0.0764,6.0357,5.82,11.31
AK-47 | Baroque Purple (Field-Tested),False,True,,True,True,169,True,True,167,0.0251,6.3175,6.12,7.64
AWP | Ice Coaled (Battle-Scarred),False,True,,True,True,170,True,True,162,0.2038,5.6115,4.78,17.69
MAC-10 | Cat Fight (Factory New),False,True,,True,True,170,True,True,163,0.1876,5.0445,4.25,7.52
★ Moto Gloves | 3rd Commando Company (Field-Tested),False,True,,True,True,172,True,True,171,0.0886,49.6303,45.21,59.74
StatTrak™ AK-47 | Searing Rage (Field-Tested),False,True,,True,True,173,True,True,166,0.0714,10.139,9.54,13.25
AK-47 | Inheritance (Battle-Scarred),False,True,,True,True,174,True,True,163,0.0947,44.4124,42.56,87.56
Glock-18 | Coral Bloom (Factory New),False,True,,True,True,174,True,True,163,0.2179,5.4598,4.32,8.6
StatTrak™ AK-47 | Ice Coaled (Field-Tested),False,True,,True,True,174,True,True,164,0.081,11.1634,10.76,16.89
AK-47 | Legion of Anubis (Minimal Wear),False,True,,True,True,174,True,True,170,0.036,39.0429,37.96,50.67
M4A1-S | Decimator (Factory New),False,True,,True,True,174,True,True,170,0.1424,78.832,70.95,131.77
Tec-9 | Bamboo Forest (Factory New),False,True,,True,True,174,True,True,170,0.1909,38.9559,33.39,60.19
P2000 | Wicked Sick (Minimal Wear),False,True,,True,True,174,True,True,173,0.201,8.1194,6.62,10.72
MP7 | Fade (Field-Tested),False,True,,True,True,175,True,True,146,0.1077,10.8282,9.44,14.04
StatTrak™ AK-47 | Inheritance (Field-Tested),False,True,,True,True,179,True,True,170,0.0859,90.1873,83.63,108.57
M4A1-S | Fizzy POP (Factory New),False,True,,True,True,179,True,True,175,0.2014,13.1687,11.08,19.6
AK-47 | Emerald Pinstripe (Battle-Scarred),False,True,,True,True,180,True,True,166,1.1053,3.4161,2.55,53.15
P90 | Asiimov (Field-Tested),False,True,,True,True,180,True,True,179,0.0397,181.2289,173.8,200.23
AK-47 | The Oligarch (Minimal Wear),False,True,,True,True,181,True,True,169,0.0895,108.3499,102.57,214.13
AWP | Hyper Beast (Minimal Wear),False,True,,True,True,181,True,True,177,0.0879,56.1144,53.9,113.62
M4A1-S | Electrum (Minimal Wear),False,True,,True,True,181,True,True,178,0.101,4.6034,4.56,10.7
P250 | Visions (Factory New),False,True,,True,True,183,True,True,176,0.2196,26.6796,21.01,40.28
AWP | Atheris (Well-Worn),False,True,,True,True,184,True,True,176,0.1021,3.7817,3.69,8.71
Desert Eagle | Mint Fan (Factory New),False,True,,True,True,185,True,True,179,0.2627,3.9194,3.26,11.22
AK-47 | Crane Flight (Field-Tested),False,True,,True,True,186,True,True,183,0.0188,26.3732,26.31,31.54
M4A4 | 龍王 (Dragon King) (Minimal Wear),False,True,,True,True,186,True,True,183,0.0489,28.3181,27.26,33.29
M4A4 | Temukau (Factory New),False,True,,True,True,187,True,True,178,0.2239,137.1898,113.22,217.78
AWP | Fever Dream (Field-Tested),False,True,,True,True,188,True,True,184,0.0183,13.3046,12.97,14.52
Tec-9 | Groundwater (Factory New),False,True,,True,True,188,True,True,185,0.116,3.7751,3.46,5.59
M4A4 | 龍王 (Dragon King) (Field-Tested),False,True,,True,True,188,True,True,186,0.0659,15.7045,14.92,21.46
Desert Eagle | Mecha Industries (Factory New),False,True,,True,True,189,True,True,182,0.1966,19.3763,17.34,32.6
M4A4 | Magnesium (Factory New),False,True,,True,True,189,True,True,182,0.2007,8.4028,7.24,25.79
AWP | Chromatic Aberration (Field-Tested),False,True,,True,True,189,True,True,186,0.0471,38.5518,37.0,46.22
MP7 | Bloodsport (Minimal Wear),False,True,,True,True,189,True,True,188,0.1479,52.6596,45.78,72.85
StatTrak™ M4A1-S | Black Lotus (Field-Tested),False,True,,True,True,190,True,True,181,0.0872,15.6575,15.03,25.93
M4A1-S | Golden Coil (Field-Tested),False,True,,True,True,191,True,True,185,0.0619,72.4588,68.64,93.12
AK-47 | Rat Rod (Minimal Wear),False,True,,True,True,191,True,True,189,0.0233,10.147,9.91,10.97
P250 | Muertos (Field-Tested),False,True,,True,True,191,True,True,189,0.0403,13.4751,12.74,14.68
AUG | Stymphalian (Field-Tested),False,True,,True,True,191,True,True,191,0.0888,4.0386,3.67,4.67
★ Survival Knife | Fade (Factory New),False,True,,True,True,192,True,True,167,0.0836,150.0041,134.95,188.94
★ Hand Wraps | Duct Tape (Field-Tested),False,True,,True,True,194,True,True,194,0.0669,55.5445,52.08,63.88
★ Moto Gloves | Transport (Field-Tested),False,True,,True,True,194,True,True,194,0.1018,46.0599,40.63,56.21
UMP-45 | K.O. Factory (Minimal Wear),False,True,,True,True,195,True,True,193,0.205,8.9555,7.05,11.92
M4A4 | In Living Color (Field-Tested),False,True,,True,True,198,True,True,195,0.0638,40.0613,37.97,48.08
AK-47 | Nouveau Rouge (Minimal Wear),False,True,,True,True,200,True,True,191,0.0802,43.1981,40.08,71.4
M4A1-S | Glitched Paint (Factory New),False,True,,True,True,201,True,True,190,0.2312,16.5442,13.96,30.23
Desert Eagle | Night (Minimal Wear),False,True,,True,True,202,True,True,194,0.3259,25.2308,22.37,132.14
AWP | Neo-Noir (Factory New),False,True,,True,True,203,True,True,198,0.1111,60.4147,56.48,87.44
FAMAS | Bad Trip (Field-Tested),False,True,,True,True,203,True,True,202,0.0356,50.088,48.82,61.31
AK-47 | Breakthrough (Field-Tested),False,True,,True,True,205,True,True,201,0.0257,3.8311,3.82,4.99
StatTrak™ M4A1-S | Night Terror (Factory New),False,True,,True,True,205,True,True,201,0.1858,6.8923,5.77,9.9
Zeus x27 | Charged Up (Factory New),False,True,,True,True,205,True,True,204,0.1651,35.6778,30.86,51.27
M4A1-S | Black Lotus (Battle-Scarred),False,True,,True,True,206,True,True,191,0.308,6.5608,5.55,29.9
StatTrak™ USP-S | Ticket to Hell (Factory New),False,True,,True,True,206,True,True,201,0.1858,7.1055,6.02,11.12
FAMAS | 2A2F (Factory New),False,True,,True,True,206,True,True,203,0.1624,12.8625,10.32,17.56
AK-47 | Legion of Anubis (Factory New),False,True,,True,True,207,True,True,202,0.2168,72.0259,63.08,113.6
M4A1-S | Leaded Glass (Minimal Wear),False,True,,True,True,207,True,True,202,0.0441,10.6261,10.2,12.88
AK-47 | Safety Net (Field-Tested),False,True,,True,True,208,True,True,195,0.0613,3.0527,2.9,4.83
AWP | Chromatic Aberration (Factory New),False,True,,True,True,208,True,True,201,0.2207,98.716,82.13,183.86
MP7 | Abyssal Apparition (Minimal Wear),False,True,,True,True,208,True,True,207,0.117,9.8053,8.81,12.38
Glock-18 | Nuclear Garden (Factory New),False,True,,True,True,209,True,True,203,0.186,35.059,31.01,72.21
M4A4 | Tooth Fairy (Minimal Wear),False,True,,True,True,211,True,True,209,0.136,6.9521,6.05,8.76
AWP | Neo-Noir (Field-Tested),False,True,,True,True,212,True,True,207,0.0265,43.796,42.65,55.22
AK-47 | The Oligarch (Field-Tested),False,True,,True,True,214,True,True,208,0.0939,85.5716,78.73,105.85
M4A1-S | Flashback (Field-Tested),False,True,,True,True,214,True,True,210,0.027,3.9707,3.9,4.61
AK-47 | Emerald Pinstripe (Minimal Wear),False,True,,True,True,216,True,True,207,0.3678,4.9388,4.51,30.63
USP-S | Kill Confirmed (Field-Tested),False,True,,True,True,217,True,True,213,0.0971,74.507,69.28,138.13
AWP | Black Nile (Battle-Scarred),False,True,,True,True,219,True,True,205,0.2208,4.3921,3.33,8.83
AWP | Atheris (Battle-Scarred),False,True,,True,True,219,True,True,211,0.4506,4.6979,3.93,28.17
AK-47 | Searing Rage (Battle-Scarred),False,True,,True,True,221,True,True,211,0.0987,4.6325,4.44,6.65
Dual Berettas | Melondrama (Minimal Wear),False,True,,True,True,221,True,True,220,0.1274,9.9824,8.92,14.07
★ Moto Gloves | Blood Pressure (Field-Tested),False,True,,True,True,221,True,True,221,0.1236,148.333,128.4,186.48
AWP | Crakow! (Minimal Wear),False,True,,True,True,224,True,True,212,0.0564,75.3093,72.18,106.78
M4A1-S | Blood Tiger (Minimal Wear),False,True,,True,True,226,True,True,214,0.0751,5.4045,5.17,10.49
MP7 | Amberline (Factory New),False,True,,True,True,226,True,True,226,0.0024,8.509,8.5,8.66
StatTrak™ AWP | Duality (Field-Tested),False,True,,True,True,227,True,True,219,0.1358,6.5759,5.93,11.45
AK-47 | Point Disarray (Minimal Wear),False,True,,True,True,227,True,True,220,0.0362,24.5118,23.77,30.29
AK-47 | Neon Revolution (Field-Tested),False,True,,True,True,227,True,True,221,0.0382,102.176,97.85,126.21
Sawed-Off | Kiss♥Love (Field-Tested),False,True,,True,True,227,True,True,224,0.1546,3.9099,3.44,5.32
Galil AR | Control (Factory New),False,True,,True,True,227,True,True,225,0.2025,7.7856,6.24,10.67
Glock-18 | Block-18 (Factory New),False,True,,True,True,228,True,True,219,0.2539,3.8655,3.04,9.17
M4A1-S | Basilisk (Minimal Wear),False,True,,True,True,228,True,True,219,1.1488,11.6879,10.45,213.41
FAMAS | Rapid Eye Movement (Minimal Wear),False,True,,True,True,228,True,True,225,0.0945,9.5837,9.02,13.59
M4A1-S | Mecha Industries (Field-Tested),False,True,,True,True,228,True,True,225,0.0412,100.4827,97.11,128.69
★ Driver Gloves | Queen Jaguar (Field-Tested),False,True,,True,True,232,True,True,232,0.1224,68.4708,58.04,82.52
