item,needs_backfill,model_ready,backfill_reason,has_summary,summary_ready,summary_n_listings,has_fit,fit_ready,fit_n_clean,pred_cv,pred_mean,pred_min,pred_max
Desert Eagle | Kumicho Dragon (Battle-Scarred),False,True,,True,True,43,True,True,42,0.0706,20.94,19.54,25.04
StatTrak™ XM1014 | XOXO (Field-Tested),False,True,,True,True,43,True,True,42,0.1383,4.8184,4.36,6.26
★ Shadow Daggers | Bright Water (Field-Tested),False,True,,True,True,43,True,True,43,0.0058,42.6544,42.18,43.21
M4A1-S | Flashback (Factory New),False,True,,True,True,44,True,True,44,0.1009,65.572,58.6,77.85
★ Falchion Knife | Bright Water (Field-Tested),False,True,,True,True,44,True,True,44,0.0107,66.867,65.94,68.29
AUG | Death by Puppy (Minimal Wear),False,True,,True,True,45,True,True,44,0.1417,5.8073,5.2,9.29
StatTrak™ AUG | Stymphalian (Field-Tested),False,True,,True,True,45,True,True,45,0.1378,3.8687,3.34,4.66
★ Bowie Knife | Bright Water (Field-Tested),False,True,,True,True,45,True,True,45,0.0115,55.8262,54.97,57.43
StatTrak™ AK-47 | The Outsiders (Field-Tested),False,True,,True,True,46,True,True,43,0.0587,19.8789,18.91,23.13
StatTrak™ M4A4 | Magnesium (Minimal Wear),False,True,,True,True,46,True,True,44,0.1972,3.7041,3.37,8.51
P250 | Asiimov (Well-Worn),False,True,,True,True,46,True,True,46,0.0064,11.967,11.85,12.14
StatTrak™ USP-S | Cortex (Well-Worn),False,True,,True,True,46,True,True,46,0.0042,6.8841,6.82,6.98
★ Huntsman Knife | Bright Water (Minimal Wear),False,True,,True,True,46,True,True,46,0.017,62.5987,61.28,65.21
CZ75-Auto | Midnight Palm (Factory New),False,True,,True,True,47,True,True,46,0.2361,12.3394,9.08,16.79
FAMAS | Bad Trip (Well-Worn),False,True,,True,True,47,True,True,47,0.0028,46.4302,46.17,46.77
StatTrak™ AWP | Atheris (Well-Worn),False,True,,True,True,48,True,True,47,0.0098,8.1725,8.09,8.66
FAMAS | Eye of Athena (Field-Tested),False,True,,True,True,48,True,True,48,0.1093,6.2065,5.46,7.32
Tec-9 | Fuel Injector (Well-Worn),False,True,,True,True,48,True,True,48,0.0056,11.3583,11.24,11.54
XM1014 | XOXO (Well-Worn),False,True,,True,True,49,True,True,49,0.0059,3.5271,3.48,3.56
MP7 | Smoking Kills (Well-Worn),False,True,,True,True,50,True,True,47,0.0175,6.526,6.35,7.05
FAMAS | Pulse (Minimal Wear),False,True,,True,True,50,True,True,49,0.05,12.469,11.8,13.86
Five-SeveN | Buddy (Factory New),False,True,,True,True,50,True,True,50,0.2295,17.992,14.2,24.53
Sawed-Off | Kiss♥Love (Battle-Scarred),False,True,,True,True,50,True,True,50,0.1431,3.4516,3.27,5.32
★ Falchion Knife | Black Laminate (Field-Tested),False,True,,True,True,50,True,True,50,0.0179,66.0538,65.24,70.5
StatTrak™ AWP | Ice Coaled (Battle-Scarred),False,True,,True,True,51,True,True,45,0.1735,13.0661,11.03,17.99
Negev | Lionfish (Factory New),False,True,,True,True,51,True,True,49,0.262,3.7298,2.97,5.65
★ Bowie Knife | Rust Coat (Battle-Scarred),False,True,,True,True,51,True,True,50,0.1188,51.7843,49.16,75.86
★ Ursus Knife | Rust Coat (Battle-Scarred),False,True,,True,True,51,True,True,51,0.1671,63.5406,56.03,99.79
Dual Berettas | Royal Consorts (Minimal Wear),False,True,,True,True,52,True,True,51,0.0627,6.4285,6.2,8.08
Five-SeveN | Capillary (Factory New),False,True,,True,True,52,True,True,51,0.2078,5.1256,3.76,6.71
P250 | Kintsugi (Well-Worn),False,True,,True,True,52,True,True,52,0.0036,6.5246,6.49,6.54
Tec-9 | Bamboozle (Factory New),False,True,,True,True,52,True,True,52,0.1556,18.8463,16.39,26.04
M4A4 | Desolate Space (Battle-Scarred),False,True,,True,True,53,True,True,50,0.128,13.8162,12.62,18.65
★ Shadow Daggers | Lore (Field-Tested),False,True,,True,True,53,True,True,53,0.0321,59.5636,56.98,63.83
StatTrak™ AWP | Duality (Battle-Scarred),False,True,,True,True,54,True,True,54,0.216,6.6167,5.48,9.75
AK-47 | Aquamarine Revenge (Battle-Scarred),False,True,,True,True,55,True,True,55,0.0495,40.356,39.12,51.57
MAG-7 | Justice (Field-Tested),False,True,,True,True,55,True,True,55,0.1166,6.328,5.79,8.24
P250 | Cyber Shell (Factory New),False,True,,True,True,55,True,True,55,0.2094,15.6589,11.84,20.27
★ Bowie Knife | Black Laminate (Field-Tested),False,True,,True,True,55,True,True,55,0.0173,59.4075,58.53,62.65
★ Huntsman Knife | Freehand (Field-Tested),False,True,,True,True,55,True,True,55,0.0153,68.0422,66.7,70.96
★ Kukri Knife | Urban Masked (Field-Tested),False,True,,True,True,55,True,True,55,0.0464,51.408,49.33,56.45
★ Navaja Knife | Marble Fade (Factory New),False,True,,True,True,56,True,True,55,0.0377,102.2793,99.96,113.91
Glock-18 | Fully Tuned (Battle-Scarred),False,True,,True,True,56,True,True,56,0.0049,50.3163,50.14,51.61
★ Huntsman Knife | Black Laminate (Field-Tested),False,True,,True,True,56,True,True,56,0.0229,65.2682,64.05,70.93
P250 | Cartel (Field-Tested),False,True,,True,True,57,True,True,55,0.0986,10.1828,9.61,16.45
StatTrak™ Galil AR | Chromatic Aberration (Field-Tested),False,True,,True,True,57,True,True,55,0.1381,7.6825,6.76,10.11
StatTrak™ M4A4 | Turbine (Field-Tested),False,True,,True,True,57,True,True,56,0.1557,3.2947,2.89,4.4
StatTrak™ MAC-10 | Saibā Oni (Minimal Wear),False,True,,True,True,57,True,True,56,0.1233,6.9349,5.5,7.96
★ Huntsman Knife | Rust Coat (Battle-Scarred),False,True,,True,True,57,True,True,56,0.1081,58.7965,55.3,79.16
AWP | Wildfire (Battle-Scarred),False,True,,True,True,57,True,True,57,0.0432,44.1637,42.59,53.29
UMP-45 | Exposure (Factory New),False,True,,True,True,57,True,True,57,0.2318,6.4695,5.11,8.83
★ Kukri Knife | Boreal Forest (Field-Tested),False,True,,True,True,57,True,True,57,0.0378,46.8698,45.2,50.01
P90 | Chopper (Factory New),False,True,,True,True,58,True,True,56,0.2139,10.3933,8.11,14.25
