item,status,error,sort_by,collected_at_utc,base_price,currency,n_listings,cap_hit,discount_sample_n,avg_discount,median_discount,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_n,steam_sales_7d_iqr_risk%,steam_sales_7d_band_risk%,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_turnover_proxy,steam_discount_risk_score,steam_daily_ret_3d,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,steam_daily_downside_14d_pct,trade_days,steam_trade_currency,risk_collected_at_utc
USP-S | Cyrex (Minimal Wear),ok,,best_deal,2026-04-18T22:27:00.647369+00:00,4.19,,50,True,8,0.00625,0.0071428571428572,4.17375,4.2,1/1,5.1972,5.202,4.944,5.065,5.2923,5.428,4.731,7.071,598,4.373508812437459,9.31270684214577,4.964211498499192,0.9504036908881199,11.96,-0.021140014954300432,0.02206309270369644,0.05852876327921419,0.010103800247377939,0.023613000818413887,0.08596856655936388,0.081613330808559,7,3,2026-04-29T08:13:45.828883+00:00
USP-S | Desert Tactical (Factory New),ok,,best_deal,2026-04-18T22:27:16.224256+00:00,11.01,,50,True,8,0.1619977114575393,0.1611258361924038,12.89,15.38875,1/1,10.6882,10.7245,9.659,10.311,11.216,11.5428,9.206,11.836,152,8.467281675118349,17.625044441533642,9.968937707003986,0.9006480488600868,3.04,0.07443596168971153,0.006731891212637953,-0.07183051969546506,0.011746620773718035,-0.052788971962473674,0.35217546362339525,0.13115192582025678,7,3,2026-04-29T06:15:04.880306+00:00
USP-S | Flashback (Factory New),ok,,best_deal,2026-04-19T07:49:45.820999+00:00,5.93,,50,True,8,0.0617862717858042,0.0587350729765591,5.7425,6.12125,2/2,5.9139,5.843,5.381,5.657,6.108,6.519,4.902,7.871,328,7.6261012191616295,19.242800858993217,7.812103687921672,0.9209310285812083,6.56,0.0012356708166116163,-0.07732790085731256,-0.19182156133828998,-0.027905751771945757,-0.10269072210572605,0.30027598896044155,0.009935602575896851,7,3,2026-04-29T06:45:30.750121+00:00
USP-S | Guardian (Factory New),ok,,best_deal,2026-04-19T07:50:22.586658+00:00,10.35,,50,True,8,0.0052508799520019,0.0004897159647405,10.19625,10.25,1/2,11.8381,11.888,11.516,11.721,11.978,12.02,9.42,19.367,149,2.1709564879499212,4.257439960804517,3.142396161546193,0.9687079407806192,2.98,-0.014175420221986274,-0.0364274375469964,-0.05860746061545996,-0.0059923498206527915,-0.02745005350802754,0.07899072227521023,0.0,7,3,2026-04-29T08:15:56.009490+00:00
USP-S | Guardian (Minimal Wear),ok,,best_deal,2026-04-19T07:50:27.357051+00:00,3.61,,50,True,8,-0.0039998774680597,-0.0062814070351758,3.71875,3.705,1/2,4.8646,4.238,4.0237,4.107,4.415,4.655,3.428,128.336,230,6.331455823705953,12.977428771121991,4.405295399416202,0.9494336951392165,4.6,-0.033089070922097716,-0.07950169875424684,-0.10504294208324161,-0.00321623861253648,-0.026672712559109413,0.20718503937007865,0.0,7,3,2026-04-29T08:57:16.890995+00:00
USP-S | Jawbreaker (Battle-Scarred),ok,,best_deal,2026-04-19T07:50:29.904825+00:00,3.68,,50,True,8,0.0047248936770972,0.0053908355795148,3.6925,3.71,2/2,4.1493,4.14,3.938,4.008,4.261,4.391,3.6,4.782,1453,6.097414021642207,10.917504157327738,4.868291037042381,0.9512077294685991,29.06,-0.014398237168308826,-0.01910669975186119,-0.05858537747082637,-0.00542684380642989,-0.03022623517788403,0.12117379205666597,0.0,7,3,2026-04-29T08:18:00.043556+00:00
USP-S | Jawbreaker (Factory New),ok,,best_deal,2026-04-19T07:50:32.479009+00:00,33.24,,50,True,8,-0.0122881979050838,-0.010510820356529,33.185,32.7825,1/2,37.1585,36.424,35.0409,35.804,38.132,39.367,33.845,50.006,164,6.26505375620651,11.642289112854385,3.722163165897437,0.9620277838787613,3.28,-0.03688095418379472,-0.010209743646653946,-0.06629328168756055,-0.010796665318877305,-0.044919628987142524,0.13502074223567664,0.0,7,3,2026-04-29T09:25:49.457516+00:00
USP-S | Jawbreaker (Field-Tested),ok,,best_deal,2026-04-19T07:50:35.357484+00:00,4.3,,50,True,8,0.0057896292558697,0.0041736227045074,4.54625,4.57375,2/2,5.3485,5.304,5.123,5.185,5.46,5.715,5.039,5.836,3716,5.141628493970279,11.068523885201452,3.3841263905767986,0.9658748114630468,74.32,0.009486571576994257,-0.004267161410018483,0.00807663410969206,0.0005987269411445847,-0.012550694014295871,0.0739705608347308,0.026271660145332592,7,3,2026-04-29T08:14:52.241542+00:00
USP-S | Jawbreaker (Minimal Wear),ok,,best_deal,2026-04-19T07:50:37.260863+00:00,7.63,,50,True,8,-0.0477355617817215,-0.0472066461185882,8.0125,7.6475,1/2,9.3062,9.214,9.112,9.176,9.413,9.565,8.555,10.626,1319,2.5466893039049245,4.867722593539784,1.0960434978831348,0.9889298892988929,26.38,-0.029947327884593426,0.010210732131218814,0.0011841963612877482,0.0022759184458485127,-0.008300074864825424,0.06736559139784946,0.014731182795698973,7,3,2026-04-29T10:51:27.870637+00:00
USP-S | Jawbreaker (Well-Worn),ok,,best_deal,2026-04-19T07:50:39.186530+00:00,3.76,,50,True,8,0.0224549166126808,0.0162384272823157,3.6575,3.74125,2/2,4.2504,4.252,4.024,4.138,4.355,4.465,3.897,4.715,1817,5.105401844532292,10.37549407114624,5.364201016374924,0.9463781749764817,36.34,0.00025639272119275247,-0.010453789498693133,-0.05555555555555558,-0.008165219767067649,-0.035925555824994904,0.16350540216086434,0.033133253301320505,7,3,2026-04-29T07:26:52.029388+00:00
USP-S | Kill Confirmed (Battle-Scarred),ok,,best_deal,2026-04-19T07:50:40.949974+00:00,60.65,,50,True,8,-0.0080557748276017,-0.0044362671862685,60.91625,60.42625,1/2,65.5864,65.661,64.5425,64.7635,65.9483,66.9885,64.17,67.879,26,1.806472073478663,3.729431711452371,1.7053840430333078,0.9829655350969373,0.52,-0.02147274349903933,-0.013017553974298712,-0.026167272945015863,-0.004035741351562404,,0.0942769741595314,0.006794459901926016,7,3,2026-04-29T09:11:17.532178+00:00
USP-S | Kill Confirmed (Field-Tested),ok,,best_deal,2026-04-19T07:50:46.882896+00:00,70.61,,50,True,8,-0.0055709569192974,-0.0037416532459351,75.28,74.85,1/2,82.724,82.179,78.8901,79.5143,84.4137,86.558,74.98,97.9,58,5.9225859484551036,9.269256805763748,3.9757506890382452,0.9599788267075531,1.16,-0.03863938878666123,0.0014251955075890166,-0.04820839363241669,-0.007238373459021373,-0.014029562525599504,0.1027113160039411,0.03874177421512956,7,3,2026-04-29T09:02:52.277713+00:00
