market_hash_name,listing_id,asset_id,ask,ask_seller_net,float_value,paint_seed,asset_properties_json,converted_price,converted_fee,converted_currencyid,scm_total_listings
AK-47 | Midnight Laminate (Battle-Scarred),559156960090926877,51520815868,2.95,2.58,0.68735229969025,513,,258,37,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),526507311675731779,52678670513,2.95,2.58,0.70323306322098,400,,258,37,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),553527460573655180,51674257855,2.99,2.6,0.71270537376404,494,,260,39,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),551275660826906731,52363441396,3.0,2.61,0.67543119192123,513,,261,39,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),592935946880937044,52713949789,3.01,2.62,0.72253608703613,91,,262,39,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),529882927546065547,51000496685,3.01,2.62,0.66031575202942,643,,262,39,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),503989313548331364,52012613913,3.01,2.62,0.74042218923569,124,,262,39,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),551275660851779455,51519205969,3.01,2.62,0.65749478340149,427,,262,39,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),524255511854343488,52437243631,3.01,2.62,0.69174325466156,740,,262,39,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),549023860951562054,52002735425,3.04,2.65,0.62395280599594,882,,265,39,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),496108014209498207,52835471040,3.06,2.67,0.54179358482361,564,,267,39,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),556905160314428420,52047631206,3.12,2.72,0.7061932682991,271,,272,40,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),492730314450440397,52762880251,3.12,2.72,0.72713971138,208,,272,40,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),493856755082606468,47219149448,3.14,2.74,0.48743790388107,508,,274,40,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),498360355433635714,52726199227,3.18,2.78,0.70228588581085,802,,278,40,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),531009462504114422,52226905735,3.22,2.8,0.69442015886307,52,,280,42,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),508492913160274460,52794218147,3.22,2.8,0.70425474643707,277,,280,42,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),511871153591929839,52655874556,3.22,2.8,0.49850332736969,580,,280,42,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),524256052570612661,52901764407,3.22,2.8,0.52948874235153,429,,280,42,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),527631762704666687,51250650279,3.28,2.86,0.69854539632797,904,,286,42,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),555779260468626435,52560831720,3.28,2.86,0.64910769462585,534,,286,42,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),529883562547047199,52254159292,3.29,2.87,0.49652194976807,191,,287,42,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),523128163121295630,52289020512,3.33,2.9,0.66329765319824,316,,290,43,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),588432347246912967,52526775648,3.33,2.9,0.66386473178864,247,,290,43,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),543394361359595149,52340736047,3.45,3.0,0.69834864139557,875,,300,45,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),522003712040549149,49176009348,3.51,3.06,0.6432518362999,125,,306,45,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),517500564670254973,52171974620,3.51,3.06,0.49412882328033,392,,306,45,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),536638962023335818,52463712520,3.54,3.09,0.6290637254715,599,,309,45,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),536638962023336106,52463562140,3.54,3.09,0.72763776779175,591,,309,45,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),536638962023336322,52463061673,3.54,3.09,0.62844395637512,178,,309,45,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),531009462405959090,51285073360,3.54,3.09,0.70035994052887,671,,309,45,2003,295
