rule,passed_rows,failed_rows
steam_sales_7d_n >= 50,423,0
steam_sales_7d_downside_risk% <= 10.0,423,0
steam_sales_7d_tail_ratio >= 0.9,423,0
steam_daily_downside_14d_pct <= 0.12,423,0
continuity_ratio <= 3.5,423,0
spread_hybrid_disc <= 0.12,0,423
