item,status,error,sort_by,collected_at_utc,base_price,currency,n_listings,cap_hit,discount_sample_n,avg_discount,median_discount,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_n,steam_sales_7d_iqr_risk%,steam_sales_7d_band_risk%,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_turnover_proxy,steam_discount_risk_score,steam_daily_ret_3d,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,steam_daily_downside_14d_pct,trade_days,steam_trade_currency,risk_collected_at_utc,risk_rule_trend,risk_rule_price,risk_rule_liquidity,risk_rule_tail,risk_rule_listings,risk_pass
USP-S | Cortex (Field-Tested),ok,,best_deal,2026-04-18T22:26:45.327057+00:00,4.13,,50,True,8,0.0,0.0,4.20375,4.20375,1/1,4.8039,4.814,4.567,4.648,4.948,5.029,4.479,5.191,2128,6.244925997626943,9.617186036345466,5.141655738046169,0.9486913169921064,42.56,-0.0186347999587869,-0.0243852035544535,-0.0199294166493668,-0.0062165484192199,-0.0068164667109686,0.0724422791781401,0.0135564499046812,7,3,2026-05-08T23:32:06.553894+00:00,True,True,True,True,True,True
USP-S | Cortex (Minimal Wear),ok,,best_deal,2026-04-18T22:26:47.138789+00:00,7.88,,50,True,8,0.018061864142008,0.0183609336093361,8.02,8.1675,1/1,9.1382,9.061,8.739,8.852,9.233,9.391,8.225,17.006,677,4.169311242914362,7.134884331706455,3.523669869339686,0.9644630835448628,13.54,0.0060764535790715,0.0335195530726257,0.012035010940919,0.0039092424456068,0.0017214713348598,0.0684864864864864,0.0476756756756757,7,3,2026-05-08T22:31:27.178137+00:00,True,True,True,True,True,True
USP-S | Cortex (Well-Worn),ok,,best_deal,2026-04-18T22:26:49.389629+00:00,3.77,,50,True,8,0.0029992031746486,0.0013227513227512,3.73375,3.745,1/1,4.2616,4.234,4.111,4.192,4.33,4.459,3.862,4.671,981,3.2382203867092154,8.165947062136285,2.8862399098930034,0.97094945677846,19.62,0.0004225772946685,0.0164744645799013,0.0590975968612064,0.0046043840568548,0.0166339495838512,0.0703866635795323,0.0639036814077332,7,3,2026-05-08T23:20:15.866337+00:00,True,True,True,True,True,True
USP-S | Cyrex (Field-Tested),ok,,best_deal,2026-04-18T22:26:58.060976+00:00,3.72,,50,True,8,0.0018957056515255,0.0,3.88,3.8875,1/1,4.666,4.665,4.54,4.595,4.748,4.839,3.501,5.028,777,3.279039862837558,6.408058294042014,2.6789541363051863,0.9732047159699893,15.54,-0.0005231256071958,-0.0170886075949368,-0.0008578168561013,0.0019531499550203,0.0069894081466104,0.0491521785790942,0.0317664734921656,7,3,2026-05-08T23:23:15.340854+00:00,True,True,True,True,True,True
USP-S | Cyrex (Minimal Wear),ok,,best_deal,2026-04-18T22:27:00.647369+00:00,4.19,,50,True,8,0.00625,0.0071428571428572,4.17375,4.2,1/1,5.6299,5.611,5.479,5.521,5.725,5.861,4.884,7.325,718,3.6235101866818193,6.785200447610077,2.344624238441174,0.9764747816788452,14.36,0.0065315819294981,0.0388958594730239,0.0711513583441139,0.0066954319413717,0.0421794885399804,0.1192201518288474,0.1192201518288474,7,3,2026-05-08T23:07:42.124343+00:00,True,True,True,True,True,True
USP-S | Desert Tactical (Factory New),ok,,best_deal,2026-04-18T22:27:16.224256+00:00,11.01,,50,True,8,0.1619977114575393,0.1611258361924038,12.89,15.38875,1/1,11.7318,11.86,11.096,11.499,12.0695,12.268,4.886,15.289,111,4.862851395352794,9.989941867403132,6.512214664416367,0.9355817875210792,2.22,0.1070326822472922,-0.0620621445644109,-0.0077600488272734,-0.0049260373406117,0.0005210667935338,0.1664323374340947,0.1002636203866432,7,3,2026-05-08T21:07:20.613899+00:00,True,True,True,True,True,True
USP-S | Flashback (Factory New),ok,,best_deal,2026-04-19T07:49:45.820999+00:00,5.93,,50,True,8,0.0617862717858042,0.0587350729765591,5.7425,6.12125,2/2,5.5334,5.581,5.334,5.4548,5.64,5.666,4.935,5.936,300,3.346947627137023,5.99992771171433,4.463801640944099,0.9557426984411396,6.0,0.0340502161766483,-0.0225858082873909,-0.0029027576197385,0.0002879723999434,-0.0056094769858333,0.091975982532751,0.0278384279475983,7,3,2026-05-08T21:37:38.505183+00:00,True,True,True,True,True,True
USP-S | Guardian (Minimal Wear),ok,,best_deal,2026-04-19T07:50:27.357051+00:00,3.61,,50,True,8,-0.0039998774680597,-0.0062814070351758,3.71875,3.705,1/2,4.3731,4.2205,4.055,4.1075,4.639,4.842,3.744,6.838,250,12.1538496718575,17.996387002355306,3.7845006974457625,0.9607866366544248,5.0,-0.0262818594348444,-0.1281917120133947,-0.0173389950460014,-0.01225693272147,-0.0108234654556607,0.160124834953787,0.0130836634257592,7,3,2026-05-08T23:51:07.201156+00:00,True,True,True,True,True,True
USP-S | Jawbreaker (Battle-Scarred),ok,,best_deal,2026-04-19T07:50:29.904825+00:00,3.68,,50,True,8,0.0047248936770972,0.0053908355795148,3.6925,3.71,2/2,4.082,4.075,3.8802,3.967,4.162,4.321,3.422,4.616,1652,4.777070063694263,10.798628123468884,4.772170504654589,0.9521963190184048,33.04,-0.0123570203411976,-0.010056414029924,0.0207384926656548,-0.0029918030684484,-0.005216913564377,0.0454658077304261,0.0203171456888006,7,3,2026-05-08T23:11:38.847764+00:00,True,True,True,True,True,True
USP-S | Jawbreaker (Factory New),ok,,best_deal,2026-04-19T07:50:32.479009+00:00,33.24,,50,True,8,-0.0122881979050838,-0.010510820356529,33.185,32.7825,1/2,35.4013,34.132,33.329,33.952,34.891,36.9368,25.398,60.64,157,2.652444966710262,10.191151172414566,2.26827828356585,0.9764736903785304,3.14,-0.0226309739183243,-0.0438508497893439,-0.0380473176568965,-0.0013179835600392,,0.0796738706873295,0.0,7,3,2026-05-09T00:19:05.478149+00:00,True,True,True,True,True,True
USP-S | Jawbreaker (Field-Tested),ok,,best_deal,2026-04-19T07:50:35.357484+00:00,4.3,,50,True,8,0.0057896292558697,0.0041736227045074,4.54625,4.57375,2/2,5.1845,5.125,5.003,5.07,5.279,5.479,4.927,5.606,3902,4.031246986208885,9.18121323174848,2.353168097212844,0.9761951219512196,78.04,0.0202148869153326,-0.0027221466070387,-0.0389732059209293,-0.0035859287735468,-0.0116669605549779,0.0627802690582959,0.0194969779684148,7,3,2026-05-08T23:08:44.431943+00:00,True,True,True,True,True,True
USP-S | Jawbreaker (Minimal Wear),ok,,best_deal,2026-04-19T07:50:37.260863+00:00,7.63,,50,True,8,-0.0477355617817215,-0.0472066461185882,8.0125,7.6475,1/2,9.124,9.047,8.97,8.991,9.204,9.388,8.728,9.715,1319,2.3345024112231583,4.581323980710207,0.8439281017097758,0.9914888913451974,26.38,-0.0274261739228598,0.0102685190269617,0.0073368374945248,0.0002939975139089,0.0003974925955549,0.0404391781715403,0.0230459832590498,7,3,2026-05-09T01:44:47.724077+00:00,True,True,True,True,True,True
