item,needs_backfill,model_ready,backfill_reason,has_summary,summary_ready,summary_n_listings,has_fit,fit_ready,fit_n_clean,pred_cv,pred_mean,pred_min,pred_max
AK-47 | Red Laminate (Field-Tested),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
AUG | Carved Jade (Minimal Wear),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
AUG | Navy Murano (Well-Worn),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
AWP | Pink DDPAT (Minimal Wear),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
CZ75-Auto | Emerald (Factory New),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
CZ75-Auto | Xiangliu (Factory New),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
Desert Eagle | Naga (Factory New),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
Desert Eagle | Ocean Drive (Battle-Scarred),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
Dual Berettas | Sweet Little Angels (Factory New),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
Five-SeveN | Fowl Play (Battle-Scarred),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
M4A1-S | Party Animal (Factory New),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
M4A4 | Bullet Rain (Field-Tested),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
MAC-10 | Propaganda (Field-Tested),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
MAG-7 | SWAG-7 (Factory New),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
MP9 | Airlock (Factory New),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
MP9 | Latte Rush (Field-Tested),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
MP9 | Music Box (Field-Tested),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
MP9 | Setting Sun (Factory New),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
P2000 | Panther Camo (Minimal Wear),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
P250 | Bengal Tiger (Minimal Wear),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
P250 | Mehndi (Minimal Wear),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
SG 553 | Ultraviolet (Minimal Wear),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
SSG 08 | Death's Head (Field-Tested),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
Tec-9 | Toxic (Factory New),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
UMP-45 | K.O. Factory (Factory New),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
USP-S | Purple DDPAT (Minimal Wear),True,False,"missing_summary, missing_fit_json",False,False,,False,False,,,,,
AK-47 | Orbit Mk01 (Minimal Wear),True,False,missing_fit_json,True,True,91.0,False,False,,0.0169,41.9082,41.23,46.29
