item,tier,listing_id,asset_id,ask,ask_seller_net,float_value,paint_seed,base_eur,predicted_eur,avg_discount,pred_smooth_eur,pred_segmented_eur,pred_hybrid_eur,pred_smooth_eur_disc,pred_segmented_eur_disc,pred_hybrid_eur_disc,spread_smooth,spread_segmented,spread_hybrid,spread_smooth_disc,spread_segmented_disc,spread_hybrid_disc,opportunity_pass,opportunity_fail_count,opportunity_fail_reasons,continuity_ratio,n_fit_clean,n_fit_raw,fit_outlier_n,fit_splits_n,steam_turnover_proxy,scm_total_listings,steam_sales_7d_n,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_daily_downside_14d_pct,asset_properties_json,converted_price,converted_fee,converted_currencyid,base_usd,predicted_usd,quantity,fx_usd_to_eur,fx_source,base_collected_at_utc,status,error,status_risk,error_risk,sort_by,collected_at_utc,base_price,currency,n_listings,cap_hit,discount_sample_n,median_discount,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_iqr_risk%,steam_sales_7d_band_risk%,steam_discount_risk_score,steam_daily_ret_3d,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,trade_days,steam_trade_currency,risk_collected_at_utc,rel_smooth,rel_segmented,rel_hybrid
M4A4 | Poly Mag (Factory New),B,518621391588456780,51734195609,1.95,1.7,0.03580574691296,655,2.15535,2.2070784,-0.0154921094264415,2.2423297120507186,2.2487372321937373,2.2468149761508314,2.2770681293199693,2.283574915466196,2.2816228796223275,-0.14991267284652232,-0.15319858061217295,-0.15221280828247763,-0.16772724580511245,-0.17106405921343382,-0.17006301519093725,True,0,-,1.2592810978123676,167,171,4,2,7.64,377,382,4.680893234672309,0.9531415343915344,0.0,,170,25,2003,2.5,2.56,825,0.86214,Frankfurter 2026-05-21 (ECB),2026-05-22T06:26:53.309812+00:00,ok,,ok,,best_deal,2026-04-17T23:18:58.681153+00:00,3.97,,50,True,8,-0.009515570934256,4.7725,4.6975,1/1,3.0272,3.024,2.8823,2.999,3.106,3.145,0.068,4.283,3.534619450317117,8.677986257928124,-0.0435707669235867,-0.159846547314578,-0.1184166387118416,-0.0159712409536991,-0.1132409230723467,0.5015220700152208,7,3,2026-05-23T01:36:22.251416+00:00,0.0403552611180174,0.04332810550200066,0.04243625218680568
M4A4 | Poly Mag (Factory New),B,496103393448340395,51581463141,1.97,1.72,0.02022263593972,93,2.15535,2.2070784,-0.0154921094264415,2.244945194848857,2.235230467281083,2.238144885551415,2.2797241314638197,2.269858902273518,2.272818471030608,-0.13956608875576504,-0.13463475496501687,-0.13611415510224112,-0.1572203713014313,-0.1522126407479787,-0.15371495991401418,True,0,-,1.2592810978123676,167,171,4,2,7.64,377,382,4.680893234672309,0.9531415343915344,0.0,,172,25,2003,2.5,2.56,825,0.86214,Frankfurter 2026-05-21 (ECB),2026-05-22T06:26:53.309812+00:00,ok,,ok,,best_deal,2026-04-17T23:18:58.681153+00:00,3.97,,50,True,8,-0.009515570934256,4.7725,4.6975,1/1,3.0272,3.024,2.8823,2.999,3.106,3.145,0.068,4.283,3.534619450317117,8.677986257928124,-0.0435707669235867,-0.159846547314578,-0.1184166387118416,-0.0159712409536991,-0.1132409230723467,0.5015220700152208,7,3,2026-05-23T01:36:22.251416+00:00,0.04156874514526982,0.03706148295222735,0.03841366161014009
M4A4 | Poly Mag (Factory New),B,517495491678838960,41283294226,2.0,1.75,0.05483023822308,623,2.15535,2.2070784,-0.0154921094264415,2.2530837695489883,2.265544564131036,2.261806325756422,2.2879887898537805,2.3006426284290336,2.296846476856458,-0.12654188477449413,-0.13277228206551794,-0.1309031628782109,-0.14399439492689026,-0.15032131421451678,-0.1484232384282289,True,0,-,1.2592810978123676,167,171,4,2,7.64,377,382,4.680893234672309,0.9531415343915344,0.0,,175,25,2003,2.5,2.56,825,0.86214,Frankfurter 2026-05-21 (ECB),2026-05-22T06:26:53.309812+00:00,ok,,ok,,best_deal,2026-04-17T23:18:58.681153+00:00,3.97,,50,True,8,-0.009515570934256,4.7725,4.6975,1/1,3.0272,3.024,2.8823,2.999,3.106,3.145,0.068,4.283,3.534619450317117,8.677986257928124,-0.0435707669235867,-0.159846547314578,-0.1184166387118416,-0.0159712409536991,-0.1132409230723467,0.5015220700152208,7,3,2026-05-23T01:36:22.251416+00:00,0.04534473266475916,0.05112606496904724,0.04939166527776081
M4A4 | Poly Mag (Factory New),B,515243691867456541,48331684914,1.98,1.73,0.0281682703644,771,2.15535,2.2070784,-0.0154921094264415,2.236826853634067,2.231625079603083,2.2331856118123783,2.271480020018569,2.2661976595350852,2.2677823676801303,-0.12971053213841777,-0.12708337353691057,-0.12787152111736289,-0.14721213132250965,-0.14454427249246726,-0.14534463014148002,True,0,-,1.2592810978123676,167,171,4,2,7.64,377,382,4.680893234672309,0.9531415343915344,0.0,,173,25,2003,2.5,2.56,825,0.86214,Frankfurter 2026-05-21 (ECB),2026-05-22T06:26:53.309812+00:00,ok,,ok,,best_deal,2026-04-17T23:18:58.681153+00:00,3.97,,50,True,8,-0.009515570934256,4.7725,4.6975,1/1,3.0272,3.024,2.8823,2.999,3.106,3.145,0.068,4.283,3.534619450317117,8.677986257928124,-0.0435707669235867,-0.159846547314578,-0.1184166387118416,-0.0159712409536991,-0.1132409230723467,0.5015220700152208,7,3,2026-05-23T01:36:22.251416+00:00,0.03780214518944362,0.03538872090522789,0.036112748190492615
M4A4 | Poly Mag (Factory New),B,490473893914665704,45903799838,2.0,1.75,0.03290531039238,159,2.15535,2.2070784,-0.0154921094264415,2.2405158034966184,2.2479420918008257,2.2457142053095636,2.2752261194960597,2.282767456671308,2.2805050555187334,-0.12025790174830919,-0.12397104590041286,-0.12285710265478178,-0.13761305974802984,-0.14138372833565405,-0.1402525277593667,True,0,-,1.2592810978123676,167,171,4,2,7.64,377,382,4.680893234672309,0.9531415343915344,0.0,,175,25,2003,2.5,2.56,825,0.86214,Frankfurter 2026-05-21 (ECB),2026-05-22T06:26:53.309812+00:00,ok,,ok,,best_deal,2026-04-17T23:18:58.681153+00:00,3.97,,50,True,8,-0.009515570934256,4.7725,4.6975,1/1,3.0272,3.024,2.8823,2.999,3.106,3.145,0.068,4.283,3.534619450317117,8.677986257928124,-0.0435707669235867,-0.159846547314578,-0.1184166387118416,-0.0159712409536991,-0.1132409230723467,0.5015220700152208,7,3,2026-05-23T01:36:22.251416+00:00,0.03951367689545473,0.04295919075826477,0.04192553659942176
M4A4 | Poly Mag (Factory New),B,517495491678704572,51469412652,2.04,1.79,0.06465590745211,269,2.15535,2.2070784,-0.0154921094264415,2.2373340363257292,2.2341317177293782,2.2350924133082835,2.2719950600399894,2.2687431307735255,2.2697187095534646,-0.09673237074790642,-0.09516260673008725,-0.095633535935433,-0.11372306864705362,-0.11212898567329677,-0.11260721056542389,True,0,-,1.2592810978123676,167,171,4,2,7.64,377,382,4.680893234672309,0.9531415343915344,0.0,,179,25,2003,2.5,2.56,825,0.86214,Frankfurter 2026-05-21 (ECB),2026-05-22T06:26:53.309812+00:00,ok,,ok,,best_deal,2026-04-17T23:18:58.681153+00:00,3.97,,50,True,8,-0.009515570934256,4.7725,4.6975,1/1,3.0272,3.024,2.8823,2.999,3.106,3.145,0.068,4.283,3.534619450317117,8.677986257928124,-0.0435707669235867,-0.159846547314578,-0.1184166387118416,-0.0159712409536991,-0.1132409230723467,0.5015220700152208,7,3,2026-05-23T01:36:22.251416+00:00,0.0380374585685524,0.0365517051659258,0.03699743118671378
M4A4 | Poly Mag (Factory New),B,520873191399299960,51520213017,2.13,1.86,0.04714062064886,462,2.15535,2.2070784,-0.0154921094264415,2.253423278265228,2.248918105607111,2.2502696574045458,2.288333558276203,2.283758590990282,2.285131081176058,-0.05794520106348733,-0.055830096529160045,-0.05646462788945805,-0.07433500388554148,-0.07218713192032022,-0.0728314935098866,True,0,-,1.2592810978123676,167,171,4,2,7.64,377,382,4.680893234672309,0.9531415343915344,0.0,,186,27,2003,2.5,2.56,825,0.86214,Frankfurter 2026-05-21 (ECB),2026-05-22T06:26:53.309812+00:00,ok,,ok,,best_deal,2026-04-17T23:18:58.681153+00:00,3.97,,50,True,8,-0.009515570934256,4.7725,4.6975,1/1,3.0272,3.024,2.8823,2.999,3.106,3.145,0.068,4.283,3.534619450317117,8.677986257928124,-0.0435707669235867,-0.159846547314578,-0.1184166387118416,-0.0159712409536991,-0.1132409230723467,0.5015220700152208,7,3,2026-05-23T01:36:22.251416+00:00,0.045502251729523296,0.04341202385093405,0.04403909221451082
M4A4 | Poly Mag (Factory New),B,499481093167362729,51748848643,2.19,1.91,0.05924994125962,520,2.15535,2.2070784,-0.0154921094264415,2.2467209649107414,2.2615557697328534,2.25710532828622,2.281527411949819,2.296592039191555,2.2920726510190343,-0.02589998397750759,-0.03267386745792389,-0.030641702413799266,-0.04179333878987168,-0.04867216401440855,-0.046608516447047776,True,0,-,1.2592810978123676,167,171,4,2,7.64,377,382,4.680893234672309,0.9531415343915344,0.0,,191,28,2003,2.5,2.56,825,0.86214,Frankfurter 2026-05-21 (ECB),2026-05-22T06:26:53.309812+00:00,ok,,ok,,best_deal,2026-04-17T23:18:58.681153+00:00,3.97,,50,True,8,-0.009515570934256,4.7725,4.6975,1/1,3.0272,3.024,2.8823,2.999,3.106,3.145,0.068,4.283,3.534619450317117,8.677986257928124,-0.0435707669235867,-0.159846547314578,-0.1184166387118416,-0.0159712409536991,-0.1132409230723467,0.5015220700152208,7,3,2026-05-23T01:36:22.251416+00:00,0.04239263456549601,0.049275416861694774,0.04721058217283514
M4A4 | Poly Mag (Factory New),B,528754490746022873,51748044319,2.2,1.92,0.04056174680591,579,2.15535,2.2070784,-0.0154921094264415,2.248200679200187,2.247655118294294,2.2478187865660617,2.2830300501349563,2.2824760373398103,2.2826422411783542,-0.021909399636448557,-0.021661417406497074,-0.021735812075482475,-0.03774093187952543,-0.037489107881731876,-0.037564655081069986,True,0,-,1.2592810978123676,167,171,4,2,7.64,377,382,4.680893234672309,0.9531415343915344,0.0,,192,28,2003,2.5,2.56,825,0.86214,Frankfurter 2026-05-21 (ECB),2026-05-22T06:26:53.309812+00:00,ok,,ok,,best_deal,2026-04-17T23:18:58.681153+00:00,3.97,,50,True,8,-0.009515570934256,4.7725,4.6975,1/1,3.0272,3.024,2.8823,2.999,3.106,3.145,0.068,4.283,3.534619450317117,8.677986257928124,-0.0435707669235867,-0.159846547314578,-0.1184166387118416,-0.0159712409536991,-0.1132409230723467,0.5015220700152208,7,3,2026-05-23T01:36:22.251416+00:00,0.043079165425655666,0.04282604602236015,0.042901981843348806
M4A4 | Poly Mag (Factory New),B,492725693728342475,39064844709,2.19,1.91,0.06584112346172,846,2.15535,2.2070784,-0.0154921094264415,2.2350114899364106,2.222710346941924,2.2264006898402697,2.26963653250786,2.257144818860032,2.26089233295438,-0.020553191751785604,-0.01493623148033052,-0.016621319561767045,-0.03636371347390854,-0.030659734639284064,-0.032370928289671363,True,0,-,1.2592810978123676,167,171,4,2,7.64,377,382,4.680893234672309,0.9531415343915344,0.0,,191,28,2003,2.5,2.56,825,0.86214,Frankfurter 2026-05-21 (ECB),2026-05-22T06:26:53.309812+00:00,ok,,ok,,best_deal,2026-04-17T23:18:58.681153+00:00,3.97,,50,True,8,-0.009515570934256,4.7725,4.6975,1/1,3.0272,3.024,2.8823,2.999,3.106,3.145,0.068,4.283,3.534619450317117,8.677986257928124,-0.0435707669235867,-0.159846547314578,-0.1184166387118416,-0.0159712409536991,-0.1132409230723467,0.5015220700152208,7,3,2026-05-23T01:36:22.251416+00:00,0.03695988583590162,0.031252625764689596,0.0329648037860532
M4A4 | Poly Mag (Factory New),B,516369591771133462,51216591877,2.2,1.92,0.06582422554493,213,2.15535,2.2070784,-0.0154921094264415,2.235045215217834,2.2229257321106584,2.226561577042811,2.2696707802650335,2.2573635407993695,2.2610557126390685,-0.015929643280833572,-0.010420787323026426,-0.012073444110368703,-0.03166853648410606,-0.026074336726986003,-0.027752596654121886,True,0,-,1.2592810978123676,167,171,4,2,7.64,377,382,4.680893234672309,0.9531415343915344,0.0,,192,28,2003,2.5,2.56,825,0.86214,Frankfurter 2026-05-21 (ECB),2026-05-22T06:26:53.309812+00:00,ok,,ok,,best_deal,2026-04-17T23:18:58.681153+00:00,3.97,,50,True,8,-0.009515570934256,4.7725,4.6975,1/1,3.0272,3.024,2.8823,2.999,3.106,3.145,0.068,4.283,3.534619450317117,8.677986257928124,-0.0435707669235867,-0.159846547314578,-0.1184166387118416,-0.0159712409536991,-0.1132409230723467,0.5015220700152208,7,3,2026-05-23T01:36:22.251416+00:00,0.03697553307714943,0.03135255624871078,0.033039449297242375
