item,base_usd,base_eur,predicted_usd,predicted_eur,quantity,reference_currency,fx_usd_to_eur,fx_source,base_collected_at_utc,status,error
Desert Eagle | Printstream (Field-Tested),36.9,31.407066,36.52,31.083632800000004,4892,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:54:38.994437+00:00,ok,
Desert Eagle | Printstream (Minimal Wear),46.69,39.7397266,46.5,39.57801,3242,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:02:43.796535+00:00,ok,
Desert Eagle | Urban DDPAT (Minimal Wear),19.38,16.4950932,19.56,16.648298399999998,131,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:48:12.622774+00:00,ok,
Dual Berettas | Royal Consorts (Field-Tested),4.07,3.4641398000000003,4.02,3.4215827999999995,391,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:51:24.009612+00:00,ok,
FAMAS | Mecha Industries (Factory New),88.06,74.9513884,89.72,76.3642808,406,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:07:56.812585+00:00,ok,
FAMAS | Yeti Camo (Factory New),3.91,3.3279574000000003,4.48,3.8131072000000006,883,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:52:41.641585+00:00,ok,
Five-SeveN | Boost Protocol (Factory New),12.05,10.256237,12.1,10.298794,572,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:52:24.706202+00:00,ok,
Five-SeveN | Heat Treated (Battle-Scarred),4.23,3.6003222000000004,4.16,3.5407424,1392,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:07:42.503043+00:00,ok,
Five-SeveN | Heat Treated (Minimal Wear),8.86,7.5411003999999995,9.24,7.864533600000001,2057,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:58:03.083043+00:00,ok,
G3SG1 | Dream Glade (Factory New),5.81,4.9451234,5.9,5.021726,559,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:53:34.898706+00:00,ok,
Galil AR | Eco (Field-Tested),12.78,10.8775692,12.68,10.7924552,1575,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:56:31.836926+00:00,ok,
Galil AR | Rainbow Spoon (Factory New),83.85,71.368089,82.78,70.4573692,909,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:56:02.867952+00:00,ok,
Glock-18 | Block-18 (Factory New),2.91,2.4768174000000003,2.91,2.4768174000000003,1698,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:57:13.204976+00:00,ok,
Glock-18 | Gold Toof (Field-Tested),32.13,27.347128200000004,31.78,27.049229200000003,393,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:48:26.136222+00:00,ok,
Glock-18 | Mirror Mosaic (Battle-Scarred),4.71,4.0088694,4.95,4.2131430000000005,323,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:47:41.460592+00:00,ok,
