item,status,error,sort_by,collected_at_utc,base_price,currency,n_listings,cap_hit,discount_sample_n,avg_discount,median_discount,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_n,steam_sales_7d_iqr_risk%,steam_sales_7d_band_risk%,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_turnover_proxy,steam_discount_risk_score,steam_daily_ret_3d,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,steam_daily_downside_14d_pct,trade_days,steam_trade_currency,risk_collected_at_utc
AK-47 | Aquamarine Revenge (Minimal Wear),ok,,best_deal,2026-04-17T00:32:58.323907+00:00,73.6,,50,True,8,-0.0014349808811427,0.0004162619675314,72.48875,72.3825,1/1,87.6595,86.245,82.0838,83.2715,90.1,92.1274,79.843,111.96,63,7.789800306869184,11.45751458769443,4.747004032649067,0.9517514058786016,1.26,-0.0418228524246853,0.0511872210147468,0.009686235556229,-0.0022151089306204,,0.1032476086195302,0.0676367436095533,7,3,2026-04-27T02:26:55.617767+00:00
AK-47 | Aquamarine Revenge (Well-Worn),ok,,best_deal,2026-04-17T00:33:02.511494+00:00,37.77,,50,True,8,-0.0272900932534091,-0.0293690002523201,38.17125,37.1575,1/1,42.2394,42.504,40.5214,41.7585,42.802,43.3713,38.46,45.269,88,2.470442288479481,6.747018186811362,4.6937219752174455,0.9533549783549784,1.76,-0.0654091313642792,0.0018266024016875,-0.0274005514432481,-0.0016329751363276,,0.1192302263209899,0.0135510280901519,7,3,2026-04-27T02:27:05.479003+00:00
AK-47 | Blue Laminate (Field-Tested),ok,,best_deal,2026-04-17T00:36:03.552052+00:00,16.66,,50,True,8,-0.0057190881588307,-0.0011806375442738,17.14375,17.04375,1/1,22.553,19.033,18.427,18.721,19.657,21.409,18.085,260.61,201,4.150223916995522,13.222187735556243,2.6870039462599284,0.9681605632322808,4.02,-0.0185750532785296,0.0010352241658482,-0.0576711644177909,-0.0041326887592888,-0.0184854100946826,0.0955398812049215,0.0246075519728469,7,3,2026-04-27T02:27:14.301638+00:00
AK-47 | Breakthrough (Minimal Wear),ok,,best_deal,2026-04-17T00:36:43.798314+00:00,10.04,,50,True,8,0.0126992031872509,0.0149402390438246,9.9125,10.04,1/1,10.4997,10.4,9.731,10.016,10.949,11.374,9.174,13.076,957,8.885968170519156,15.648066135222916,6.371610617446217,0.9356730769230768,19.14,-0.0249357136628592,0.0644467308951455,-0.002366967651442,-0.0085108397209236,-0.0255741747610006,0.2274165202108962,0.1362917398945518,7,3,2026-04-27T02:27:21.412920+00:00
AK-47 | Cartel (Factory New),ok,,best_deal,2026-04-17T00:37:02.303142+00:00,99.9,,50,True,8,0.0144611693871073,0.01909552661451,109.9675,111.5625,1/1,103.2503,102.0055,96.5085,97.5442,105.7105,116.033,90.748,121.693,36,7.909226413869977,18.9098724168356,5.323955475189902,0.9461107489302047,0.72,-0.0340678164266407,0.0225335496239493,-0.0303146137602147,-0.0003595815034387,-0.0197670129666639,0.1542876921745651,0.0682550212966435,7,3,2026-04-27T02:27:33.251917+00:00
AK-47 | Cartel (Minimal Wear),ok,,best_deal,2026-04-17T00:37:10.993314+00:00,22.77,,50,True,8,-0.0132284473449111,-0.0200347207937762,23.1375,22.83375,1/1,26.9162,27.072,25.47,26.0355,27.553,28.699,23.694,31.096,187,5.637868644162259,11.996492818451353,5.951805975583479,0.9408244680851064,3.74,-0.0592309402672641,0.0924746129194176,0.0238836216255338,0.0015100884965528,0.0053617922957225,0.0846469216088216,0.0846469216088216,7,3,2026-04-27T02:27:41.606955+00:00
AK-47 | Crane Flight (Field-Tested),ok,,best_deal,2026-04-17T00:37:56.413607+00:00,33.55,,50,True,8,-0.0043602559570261,-0.0044709388971684,34.3575,34.2175,1/1,32.846,32.575,30.443,31.623,34.083,35.383,28.828,37.433,1918,7.489496437922419,15.039883090787315,6.490896912866108,0.9345510360706064,38.36,-0.0373681232905011,-0.0779372546669463,-0.1433661822838371,-0.0194407772543282,-0.0737488638460265,0.2247172754452099,0.0,7,3,2026-04-27T02:27:53.047719+00:00
AK-47 | Emerald Pinstripe (Field-Tested),ok,,best_deal,2026-04-17T00:39:19.796292+00:00,3.08,,50,True,8,0.0096706573248716,0.008851170176763,3.4825,3.515,1/1,3.6119,3.6005,3.387,3.454,3.73,3.838,3.271,6.158,860,7.641407569423291,12.48650294858662,5.911016362579247,0.940702680183308,17.2,-0.0242380785412193,0.1101865136298423,0.0437011060156462,0.0043258548755546,0.005772592341473,0.1302662186611527,0.0992504523132593,7,3,2026-04-27T02:28:01.829278+00:00
AK-47 | Frontside Misty (Minimal Wear),ok,,best_deal,2026-04-17T00:41:19.676705+00:00,32.33,,50,True,8,-0.0238515191220873,-0.0239380097239649,33.0825,32.3075,1/1,39.0457,38.5475,37.221,37.433,40.292,41.9533,35.46,52.126,224,7.322189127099789,12.11990052681858,3.397301111261939,0.9655879110188728,4.48,-0.0430489190650193,0.0542176366933115,0.0778912186333133,0.0061981051746544,0.0174337980173517,0.094937015503876,0.0928052325581396,7,3,2026-04-27T02:28:08.711485+00:00
AK-47 | Head Shot (Battle-Scarred),ok,,best_deal,2026-04-17T00:42:53.838513+00:00,30.57,,50,True,8,0.015888646186341,0.0119442334447933,31.52,32.045,1/1,35.5033,35.2,33.368,34.195,36.699,38.853,27.098,39.151,341,7.052865508276689,15.449268096205138,5.160083710528319,0.9479545454545454,6.82,-0.0178480558577452,0.0324251950168819,-0.0171520407880517,0.0057397239987316,,0.0810826050183252,0.0354665914857624,7,3,2026-04-27T02:28:16.732149+00:00
AK-47 | Ice Coaled (Battle-Scarred),ok,,best_deal,2026-04-17T00:44:09.512204+00:00,4.41,,50,True,8,0.0141060214206922,0.0033860045146726,4.48,4.5425,1/1,5.1256,5.086,4.963,5.008,5.202,5.342,4.769,5.734,1460,3.7849227407523007,7.394256282191344,2.399719057281103,0.9758159653952024,29.2,0.0197089697070241,-0.0070257611241216,-0.013762357045939,-0.0037864570939955,-0.0150048993836523,0.0522798742138364,0.0102201257861636,7,3,2026-04-27T02:28:25.269481+00:00
AK-47 | Ice Coaled (Factory New),ok,,best_deal,2026-04-17T00:44:16.243740+00:00,21.59,,50,True,8,0.0190018903542292,0.0163524877842249,21.6125,22.03125,1/1,24.7302,24.469,23.418,23.869,25.143,25.502,21.349,53.502,456,5.151596024294187,8.426943575062069,4.249864538095131,0.9570476929993053,9.12,-0.0033931447766465,-0.03804460688624,-0.0875029548498934,-0.015312132822418,-0.0456524535096477,0.1733085790768964,0.0,7,3,2026-04-27T02:28:35.686074+00:00
AK-47 | Inheritance (Battle-Scarred),ok,,best_deal,2026-04-17T00:44:41.463132+00:00,42.75,,50,True,8,0.0042440428190542,0.0,42.935,43.1175,1/1,48.6293,48.531,47.31,47.764,49.215,50.461,42.762,58.046,343,2.98379783381624,6.479632649452071,2.5108319469949114,0.9748408233912346,6.86,-0.0029558257301067,0.01410481444333,-0.0385903048792567,-0.0077887517563035,-0.0119220549167288,0.061599802188292,0.0181121345119613,7,3,2026-04-27T02:28:44.728700+00:00
AK-47 | Midnight Laminate (Minimal Wear),ok,,best_deal,2026-04-17T00:48:42.761738+00:00,12.32,,50,True,8,0.0099097389718679,0.0079233524547849,16.48375,16.64375,1/1,15.1077,15.126,14.495,14.743,15.384,15.722,12.512,16.261,1646,4.242869530107164,8.121686292420424,4.176678117781001,0.9582837498347216,32.92,-0.0012479253342485,0.040916313559322,0.0223031406463358,0.0017337754898229,-0.0109342109630741,0.10844676249841,0.048149090446508,7,3,2026-04-27T02:28:55.115661+00:00
AK-47 | Neon Rider (Minimal Wear),ok,,best_deal,2026-04-17T00:49:54.420543+00:00,80.41,,50,True,8,-0.030731113713108,-0.0408174239002208,82.26375,79.81125,1/1,97.3457,97.447,89.144,94.123,101.2805,105.3118,63.25,113.911,79,7.35266169948955,16.608643216906348,8.52939575143021,0.9147947089186944,1.58,-0.1077926771081455,0.0514910576595704,0.0265424434689947,0.0072759643045603,0.0230657190152372,0.1266427945602072,0.1266427945602072,7,3,2026-04-27T02:29:06.891342+00:00
AK-47 | Nightwish (Battle-Scarred),ok,,best_deal,2026-04-17T00:50:07.218811+00:00,68.49,,50,True,8,0.1099342780933476,0.0866780334061452,80.7325,91.25625,1/1,80.179,80.349,76.342,77.98,83.214,84.304,54.058,86.757,311,6.527893837538501,9.930280996270849,4.997567941730384,0.9501300576236168,6.22,0.0771293426274365,-0.050413582934262,-0.0778169694626982,-0.0077698125210951,-0.0259747867046301,0.1420188100914306,0.0,7,3,2026-04-27T02:29:13.936436+00:00
AK-47 | Nightwish (Well-Worn),ok,,best_deal,2026-04-17T00:50:25.183636+00:00,69.73,,50,True,8,0.0052151811853216,0.0058062381036559,69.33875,69.7025,1/1,80.9679,80.843,77.33,78.6825,82.864,85.0712,71.074,88.458,412,5.164392308556848,9.560825956953318,4.3387564701566985,0.9565454028178072,8.24,-0.0188589440918432,-0.042829698270991,-0.0946932134649984,-0.0097941418219171,-0.0306768975383473,0.1134330316148496,0.0,7,3,2026-04-27T02:29:24.898321+00:00
AK-47 | Nouveau Rouge (Minimal Wear),ok,,best_deal,2026-04-17T00:50:41.239315+00:00,44.83,,50,True,8,-0.0230471873147235,-0.0281433437920215,46.65375,45.59625,1/1,46.6182,46.522,45.229,45.9485,47.1305,48.408,34.11,51.741,291,2.5354904307759525,6.8192251095065926,2.773594862092485,0.9722066979063668,5.82,-0.0341074484425187,0.0009444737304515,-0.0825246627743104,-0.0071478080392952,-0.03736971372164,0.1888042834258629,0.0112571591582365,7,3,2026-04-27T02:29:31.913077+00:00
AK-47 | Orbit Mk01 (Field-Tested),ok,,best_deal,2026-04-17T00:51:39.621019+00:00,31.54,,50,True,8,-0.0372118417922976,-0.0402697219891616,32.80375,31.6275,1/1,34.8458,34.98,33.0646,34.2013,35.7828,36.3882,22.956,41.887,110,4.538567058296835,9.538021798896851,5.496788709112715,0.945242995997713,2.2,-0.0820767293170266,-0.007015004725898,-0.0374914109024278,-0.0067671160077456,-0.0278840183464392,0.0990674777280366,0.0,7,3,2026-04-27T02:29:41.121437+00:00
AK-47 | Orbit Mk01 (Minimal Wear),ok,,best_deal,2026-04-17T00:51:44.852163+00:00,46.02,,50,True,8,-0.0386008765515563,-0.0449064331150255,47.2375,45.4975,1/1,48.6744,48.6835,45.93,46.966,49.8648,50.6987,43.588,60.017,44,5.955492004010324,9.797141824038926,5.656977795309244,0.9434407961629708,0.88,-0.0896874975193751,0.055998258219029,-0.0215650279397227,-0.0046204507108031,-0.02592011370054,0.1828996742402375,0.053028741082842,7,3,2026-04-27T02:29:48.320400+00:00
AK-47 | Phantom Disruptor (Minimal Wear),ok,,best_deal,2026-04-17T00:53:14.627007+00:00,8.94,,50,True,8,-0.014763336412177,-0.0121232037761779,9.14125,9.00875,1/1,11.1773,11.185,10.346,10.756,11.577,11.901,9.519,12.512,914,7.345244379232907,13.912125468583644,7.50628505989819,0.9249888243182832,18.28,-0.0641240464198226,-0.0189808481532147,0.018643465909091,-0.00730381429007,-0.0107130379412555,0.1382255534251351,0.0745162977165766,7,3,2026-04-27T02:29:55.928473+00:00
AK-47 | Point Disarray (Factory New),ok,,best_deal,2026-04-17T00:53:39.135153+00:00,97.23,,50,True,8,0.012624989584026,0.0187439589445207,92.77875,93.965,1/1,100.6584,102.671,90.759,94.3055,104.1775,109.009,83.544,113.67,34,9.807427894741023,18.13062794560613,11.834084388386866,0.883978922967537,0.68,-0.1012096686653254,0.1523393729254316,-0.1652768525112373,-0.002639784242578,,0.3654193690429232,0.167417369208047,7,3,2026-04-27T02:30:03.760796+00:00
AK-47 | Red Laminate (Field-Tested),ok,,best_deal,2026-04-17T01:40:51.159748+00:00,66.81,,50,True,8,-0.0269911651016282,-0.0284173738787364,68.50625,66.69875,1/1,74.1429,73.458,70.9078,72.2263,74.492,77.4531,68.645,98.286,34,3.0558556517212163,8.827952507927275,3.43957411970668,0.9652835633967708,0.68,-0.0568807206641777,0.0084441299348148,-0.0467715897323753,-0.0093049194641762,,0.1180038729614659,0.0261188742771932,7,3,2026-04-27T02:30:11.080796+00:00
AK-47 | Safari Mesh (Factory New),ok,,best_deal,2026-04-17T01:41:35.851813+00:00,17.98,,50,True,8,0.0684658312295816,0.0658983207549446,18.41875,19.77125,1/1,17.3721,17.162,15.749,16.722,18.358,19.1153,12.476,19.657,92,9.417399163025769,19.377622739910557,8.133731673200122,0.9176669385852464,1.84,-0.0038051187014788,-0.0264553399496371,-0.1641145647860812,-0.0183040703819833,-0.0795770566546183,0.3146491388229566,0.0262917655650904,7,3,2026-04-27T02:30:21.319906+00:00
AK-47 | Safety Net (Field-Tested),ok,,best_deal,2026-04-17T01:42:11.228781+00:00,3.07,,50,True,8,0.0152592946955583,0.0119807588563207,3.18875,3.23875,1/1,3.6726,3.639,3.4984,3.56,3.79,3.899,3.383,4.077,2237,6.262593258182214,10.907803735773015,3.828350487393117,0.9613630118164332,44.74,0.0101817130270417,-0.0405797101449275,-0.0298427924327204,-0.00412323132845,-0.0218378035311858,0.0917330403735237,0.0140071408953584,7,3,2026-04-27T02:30:29.304683+00:00
AK-47 | Searing Rage (Battle-Scarred),ok,,best_deal,2026-04-17T01:42:30.983310+00:00,4.67,,50,True,8,0.0122819576473011,0.0010799136069113,4.72125,4.7875,1/1,5.2356,5.181,4.973,5.06,5.382,5.619,4.829,5.833,1661,6.150202460080986,12.338604935441971,3.972801589120639,0.9598533101717814,33.22,0.0032395418601963,-0.0124147081122062,-0.0435939794419971,-0.0042243339958587,-0.0251305919529072,0.091929757220996,0.0215910181364552,7,3,2026-04-27T02:30:41.026976+00:00
