item,risk_pass,high_cv_pass,monitor_pass,pred_cv,pred_range_over_mean,cv_n_listings,cv_source,risk_rule_trend,risk_rule_price,risk_rule_liquidity,risk_rule_tail,risk_rule_listings,base_price,n_listings,avg_discount,median_discount,steam_sales_7d_n,steam_sales_7d_iqr_risk%,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_turnover_proxy,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,steam_daily_downside_14d_pct,steam_discount_risk_score,risk_collected_at_utc,status,error,sort_by,collected_at_utc,currency,cap_hit,discount_sample_n,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_band_risk%,steam_daily_ret_3d,trade_days,steam_trade_currency,model_ready,has_summary,summary_ready,has_fit,fit_ready,monitor_pass_before_model_ready
SSG 08 | Hand Brake (Factory New),True,True,True,0.1949,0.5713967165593556,99.0,summary,True,True,True,True,True,8.21,50,0.1424891492069006,0.1357628224087851,204,5.03685844141448,4.621161733732401,0.953412027659426,4.08,0.0711500974658867,-0.0009025934432568,-0.0548145192535134,0.3517483426491616,0.1128298453139216,0.1103948061152549,2026-05-01T22:47:37.734677+00:00,ok,,best_deal,2026-04-18T18:20:33.832894+00:00,,True,8,10.28625,12.0,1/1,7.2168,7.1585,6.825,6.9908,7.3543,7.693,6.39,8.513,12.0274914089347,0.1062697727926373,7,3,True,True,True,True,True,True
Glock-18 | Oxide Blaze (Factory New),True,True,True,0.1309,0.40726458198108767,82.0,summary,True,True,True,True,True,8.08,50,0.1269094958297116,0.1267312272893231,179,3.702745749329561,4.723723437563817,0.9533414011025952,3.58,0.0482029598308668,-0.0080823855291435,-0.0613907528219578,0.3321231679440634,0.045986284792255,0.0928895710141508,2026-05-01T22:50:01.785356+00:00,ok,,best_deal,2026-04-17T19:15:54.864954+00:00,,True,8,9.31125,10.66,1/1,7.3459,7.437,7.09,7.284,7.556,7.647,4.273,8.196,7.582460964619725,-0.0057486631016042,7,3,True,True,True,True,True,True
Dual Berettas | Dualing Dragons (Factory New),True,True,True,0.1617,0.50411177499932,54.0,summary,True,True,True,True,True,11.17,32,0.1242618442285229,0.1252325326913607,56,7.155929001534885,4.776850722185053,0.9516482422069515,1.75,0.0394492725319792,0.0080204714947231,-0.0498227761294182,0.2797557538750587,0.0734617191169563,0.0852799908832776,2026-05-01T22:50:35.955337+00:00,ok,,best_deal,2026-04-17T08:53:47.703556+00:00,,False,8,11.9925,13.74,1/1->1/1,10.1636,10.041,9.5555,9.9177,10.645,11.4165,1.305,12.135,18.310441182258245,0.0601533711781694,7,3,True,True,True,True,True,True
Galil AR | Sage Spray (Factory New),True,True,True,0.1334,0.4092612897467935,41.0,summary,True,True,True,True,True,7.09,50,0.1228835334917005,0.1238682777399591,106,5.207274206199347,6.463701594863903,0.935159551216669,2.12,0.0266802740924332,-0.0079186335044015,-0.0372828645351164,0.2773359840954275,0.0508378301618857,0.0681296094234303,2026-05-01T22:51:09.777127+00:00,ok,,best_deal,2026-04-17T17:37:06.702525+00:00,,True,8,7.62875,8.7225,1/1,6.8846,6.863,6.418,6.7052,7.0637,7.422,5.559,7.803,14.583272811782813,0.0535607420706163,7,3,True,True,True,True,True,True
UMP-45 | Primal Saber (Field-Tested),True,True,True,0.1192,0.33984647101454374,253.0,summary,True,True,True,True,True,12.58,50,0.1202647151882791,0.1103238627988225,211,5.123942595008635,3.956062455283856,0.9605318404478658,4.22,0.0403684248398934,0.005510706110177,-0.0073997293723598,0.1141236685572001,0.038802047309448,0.0950575006954857,2026-05-01T22:51:56.853432+00:00,ok,,best_deal,2026-04-18T22:21:47.624739+00:00,,True,8,14.3075,16.263749999999998,1/1,14.2566,14.29,13.726,13.947,14.6775,14.998,9.785,18.593,8.922183409789138,0.0161653078436885,7,3,True,True,True,True,True,True
UMP-45 | Wild Child (Field-Tested),True,True,True,0.2076,0.5756864346228437,400.0,summary,True,True,True,True,True,3.89,50,0.1125730021204895,0.1090333804336265,2212,3.5350615856640983,2.0676775312374933,0.979058770547174,44.24,-0.0274725274725274,0.0018309182575695,-0.0139364271275249,0.0720903954802261,0.0067796610169492,0.1250066787331829,2026-05-01T22:54:08.105264+00:00,ok,,best_deal,2026-04-18T22:23:51.480676+00:00,,True,8,5.59625,6.305,1/1,4.4978,4.441,4.348,4.394,4.553,4.723,4.192,5.063,8.337409400151186,-0.0033783783783782,7,3,True,True,True,True,True,True
Glock-18 | Ironwork (Factory New),True,True,True,0.1456,0.4848831547369747,112.0,summary,True,True,True,True,True,23.71,50,0.1051289549907989,0.1069110830172777,85,5.2117726417438845,6.062413462562583,0.9393564883869592,1.7,0.0678833741375473,0.0074324444272,0.0106232009381159,0.1217347505905238,0.0736939002362095,0.0531320956483528,2026-05-01T22:57:06.950022+00:00,ok,,best_deal,2026-04-17T19:11:22.208414+00:00,,True,8,27.56625,30.81625,1/1,28.167,28.158,26.4504,27.465,28.933,29.341,24.584,32.024,10.262363759008778,0.0229913649124053,7,3,True,True,True,True,True,True
P250 | Boreal Forest (Factory New),True,True,True,0.1446,0.42780338922446276,30.0,summary,True,True,True,True,True,5.98,24,0.0334699964515632,0.1056803763865367,156,5.596274661082334,7.356993276755205,0.926466538143762,6.5,0.0096628432394856,-0.0042652355624546,-0.0121286206720083,0.4427155053704213,0.0939135224456072,-0.0225987110481548,2026-05-01T23:39:09.770130+00:00,ok,,best_deal,2026-04-18T12:34:16.700248+00:00,,False,8,7.92625,8.2575,1/1->1/1,7.2584,7.262,6.728,7.1208,7.527,7.73,5.696,8.403,13.804695249641805,-0.0145202876916813,7,3,True,True,True,True,True,True
Glock-18 | Warhawk (Factory New),True,True,True,0.143,0.4470665179431357,49.0,summary,True,True,True,True,True,20.02,50,0.1109863797088596,0.105638626012968,79,5.969614327074399,5.864334074401779,0.9414121069710192,1.58,-0.0053981106612684,-0.0140319369302233,-0.0810110493140583,0.3132558551117927,0.0,0.0605754330841064,2026-05-01T22:54:54.032944+00:00,ok,,best_deal,2026-04-17T19:27:55.091265+00:00,,True,8,21.79,24.52375,1/1,17.8571,17.874,16.8268,17.153,18.219,19.019,9.962,26.053,12.27634946323871,-0.0691378363536519,7,3,True,True,True,True,True,True
Glock-18 | Night (Minimal Wear),True,True,True,0.1523,0.4516230713629668,154.0,summary,True,True,True,True,True,38.2,50,0.1005631335767443,0.0934995538528286,68,3.372222353692876,3.905204397430535,0.961378234299831,1.36,0.0758856841827997,0.0122205829351201,0.0107676720401648,0.1288620672770895,0.0864711354845026,0.068969329661841,2026-05-01T22:58:44.157685+00:00,ok,,best_deal,2026-04-17T19:13:45.273141+00:00,,True,8,44.24125,49.2375,1/1,38.0313,38.455,36.9698,37.8615,39.144,39.791,21.963,42.582,7.418100354181943,0.0626463395598104,7,3,True,True,True,True,True,True
MP7 | Akoben (Factory New),True,True,True,0.192,0.511759581881533,57.0,summary,True,True,True,True,True,8.44,39,0.1056384770695922,0.0902186014322681,105,4.369394053009558,3.1869177746373274,0.9681739631336406,2.6923076923076925,0.0278396436525611,-0.0055561343457392,-0.0789707928461936,0.3989888046226074,0.027085590465872,0.0851152570245939,2026-05-01T22:56:51.108696+00:00,ok,,best_deal,2026-04-18T05:22:12.858987+00:00,,False,8,10.1875,11.44375,1/1->1/1,6.9346,6.944,6.723,6.879,7.182,7.276,1.573,7.676,7.974504657802901,-0.0350571508224144,7,3,True,True,True,True,True,True
Glock-18 | Catacombs (Factory New),True,True,True,0.1677,0.60015922591708,153.0,summary,True,True,True,True,True,7.15,50,0.0893884813012718,0.0887384176764077,220,5.521277822627148,3.315649867373999,0.9665697674418604,4.4,-0.0231811199553134,-0.0090769105166205,-0.070411327950424,0.2980700500357398,0.0426018584703359,0.0708798578239911,2026-05-01T23:02:53.034905+00:00,ok,,best_deal,2026-04-17T18:22:35.716915+00:00,,True,8,9.5875,10.53125,1/1,6.9368,6.88,6.65,6.799,7.182,7.2454,4.893,7.531,8.583208395802094,0.0211678832116788,7,3,True,True,True,True,True,True
M4A1-S | Mud-Spec (Factory New),True,True,True,0.2394,1.2731769231775776,154.0,summary,True,True,True,True,True,5.57,50,0.0901222223165365,0.0856276346358027,450,4.707864611725062,3.650659926986788,0.9636273864384464,9.0,0.0248822021988923,-0.0039968192708633,-0.0275010138699639,0.2416518793353765,0.0487175350863041,0.0736156230466686,2026-05-01T23:02:02.949213+00:00,ok,,best_deal,2026-04-17T22:11:48.892548+00:00,,True,8,7.91,8.717500000000001,1/1,6.0537,6.076,5.855,5.914,6.199,6.314,3.545,6.898,7.582139848357198,0.0512124809225029,7,3,True,True,True,True,True,True
AWP | Duality (Field-Tested),True,True,True,0.2373,0.5855466857636329,400.0,summary,True,True,True,True,True,3.87,50,0.0846693585245387,0.0801708391126067,4776,4.296359283045029,3.490791917474092,0.9649516962480342,95.52,-0.0201710151282612,-0.0014838100995185,-0.0119260450116325,0.079883642873126,0.0156634593868875,0.0894537856145327,2026-05-01T23:04:40.514249+00:00,ok,,best_deal,2026-04-17T03:56:39.805910+00:00,,True,8,5.7125,6.23875,1/1,4.4689,4.451,4.295,4.363,4.555,4.631,4.204,4.914,7.518628745328836,0.0156818181818181,7,3,True,True,True,True,True,True
AWP | Black Nile (Factory New),True,True,True,0.202,0.5892615714967393,175.0,summary,True,True,True,True,True,41.5,50,0.0729867734597907,0.0798622254113746,185,3.419423032564356,3.9897493352530224,0.9600152419662136,3.7,0.0789697579085777,0.0076510000595333,-0.0102459833999147,0.1820788530465949,0.0823416965352448,0.0465312372659748,2026-05-01T23:08:44.413731+00:00,ok,,best_deal,2026-04-17T03:51:15.829466+00:00,,True,8,48.39625,52.25,1/1,39.4511,39.365,37.791,38.761,40.11,41.85,33.187,42.291,10.288686500503168,0.0897302364337047,7,3,True,True,True,True,True,True
UMP-45 | Primal Saber (Minimal Wear),True,True,True,0.1313,0.38725529471463294,132.0,summary,True,True,True,True,True,13.37,50,0.0732641563890807,0.0733416827619507,65,10.67615658362989,7.395319268856944,0.9255869163809022,1.3,-0.005105857101044,-0.0047787228220061,-0.0215744928141972,0.2464696652719666,0.0547855648535564,0.0065455204208631,2026-05-01T23:08:28.101088+00:00,ok,,best_deal,2026-04-18T22:21:49.961036+00:00,,True,8,16.5875,17.90125,1/1,15.2583,15.164,14.0356,14.458,16.087,16.935,11.45,18.993,19.002116880648558,-0.0491701373780071,7,3,True,True,True,True,True,True
