item,base_usd,base_eur,predicted_usd,predicted_eur,quantity,reference_currency,fx_usd_to_eur,fx_source,base_collected_at_utc,status,error
MP9 | Airlock (Field-Tested),11.41,9.7422003,11.3,9.648279,370,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:02:20.193917+00:00,ok,
Galil AR | Rainbow Spoon (Minimal Wear),44.89,38.328428699999996,45.02,38.439426600000004,801,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:02:32.296268+00:00,ok,
M4A1-S | Guardian (Field-Tested),28.1,23.992623000000002,27.62,23.5827846,434,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:02:37.294431+00:00,ok,
AK-47 | Nouveau Rouge (Minimal Wear),41.59,35.510789700000004,41.29,35.254640699999996,663,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:02:51.289590+00:00,ok,
Desert Eagle | Printstream (Field-Tested),36.71,31.3440993,36.53,31.1904099,4874,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:03:02.749731+00:00,ok,
AK-47 | Neon Rider (Field-Tested),45.34,38.7126522,44.99,38.413811700000004,1007,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:03:12.516011+00:00,ok,
Desert Eagle | Midnight Storm (Minimal Wear),32.45,27.7067835,31.73,27.0920259,283,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:03:19.468005+00:00,ok,
AK-47 | Elite Build (Minimal Wear),3.1,2.646873,3.03,2.5871049,3652,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:03:30.551440+00:00,ok,
Five-SeveN | Case Hardened (Battle-Scarred),14.45,12.337843499999998,14.45,12.337843499999998,212,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:03:37.638312+00:00,ok,
Desert Eagle | Printstream (Minimal Wear),45.29,38.6699607,44.96,38.3881968,3252,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:03:48.347329+00:00,ok,
USP-S | Black Lotus (Minimal Wear),2.92,2.4931836,3.05,2.6041814999999997,756,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:03:59.730214+00:00,ok,
Glock-18 | Steel Disruption (Factory New),70.46,60.16086179999999,72.39,61.8087537,105,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:04:06.239676+00:00,ok,
USP-S | The Traitor (Battle-Scarred),33.77,28.833839100000002,33.36,28.4837688,176,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:04:13.479401+00:00,ok,
Glock-18 | Water Elemental (Minimal Wear),19.63,16.7606829,19.37,16.5386871,1242,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:04:21.933347+00:00,ok,
Tec-9 | Fuel Injector (Field-Tested),11.27,9.6226641,11.32,9.6653556,908,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:04:30.523171+00:00,ok,
AWP | Exoskeleton (Field-Tested),5.53,4.7216799,5.56,4.7472948,605,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:04:40.437983+00:00,ok,
USP-S | Jawbreaker (Minimal Wear),7.38,6.3012654,7.34,6.2671122,896,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:04:47.629522+00:00,ok,
Glock-18 | Gold Toof (Minimal Wear),48.5,41.410755,48.55,41.4534465,275,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:04:55.009719+00:00,ok,
AWP | Sun in Leo (Field-Tested),23.3,19.894239,23.27,19.868624099999998,438,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:05:08.653960+00:00,ok,
AK-47 | Asiimov (Field-Tested),41.56,35.4851748,41.45,35.391253500000005,2451,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:05:39.079871+00:00,ok,
M4A4 | Tooth Fairy (Field-Tested),3.9,3.3299369999999997,3.85,3.2872455,1799,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:06:11.090496+00:00,ok,
Desert Eagle | Kumicho Dragon (Minimal Wear),29.33,25.042833899999998,29.31,25.0257573,368,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:06:15.493305+00:00,ok,
M4A4 | Full Throttle (Battle-Scarred),29.7,25.358750999999998,29.97,25.589285099999998,189,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:06:26.713652+00:00,ok,
Glock-18 | Vogue (Field-Tested),3.72,3.1762476,3.66,3.1250178,2019,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:06:37.323648+00:00,ok,
P2000 | Imperial Dragon (Battle-Scarred),11.49,9.8105067,11.43,9.7592769,94,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:06:44.243129+00:00,ok,
M4A4 | Polysoup (Field-Tested),14.1,12.039003,14.68,12.5342244,266,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:06:49.992704+00:00,ok,
Desert Eagle | Code Red (Minimal Wear),54.75,46.7471925,53.67,45.8250561,479,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:06:54.649050+00:00,ok,
USP-S | Whiteout (Field-Tested),72.16,61.612372799999996,71.78,61.2879174,607,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:07:03.829839+00:00,ok,
USP-S | Kill Confirmed (Field-Tested),67.66,57.77013779999999,67.26,57.4286058,539,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:07:08.173304+00:00,ok,
AK-47 | The Oligarch (Battle-Scarred),44.28,37.8075924,44.01,37.5770583,209,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:07:13.576015+00:00,ok,
MP9 | Hydra (Minimal Wear),12.17,10.3911111,12.41,10.5960303,364,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:07:24.201549+00:00,ok,
Five-SeveN | Heat Treated (Battle-Scarred),4.32,3.6885456000000003,4.29,3.6629307,1408,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:07:34.982432+00:00,ok,
M4A1-S | Nightmare (Field-Tested),9.14,7.8040062,9.28,7.9235424,1189,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:07:48.673389+00:00,ok,
Sawed-Off | Wasteland Princess (Minimal Wear),45.93,39.2164119,44.78,38.2345074,184,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:07:54.608699+00:00,ok,
Desert Eagle | Mulberry (Minimal Wear),10.66,9.1018278,11.53,9.8446599,1180,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:08:03.882526+00:00,ok,
Five-SeveN | Monkey Business (Minimal Wear),72.74,62.107594199999994,70.38,60.092555399999995,138,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:08:10.617104+00:00,ok,
MP9 | Food Chain (Field-Tested),3.8,3.244554,3.91,3.3384753000000003,721,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:08:21.629502+00:00,ok,
Glock-18 | Gold Toof (Field-Tested),32.53,27.7750899,32.22,27.5104026,392,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:08:27.855894+00:00,ok,
USP-S | Black Lotus (Factory New),39.19,33.4615977,38.42,32.8041486,254,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:08:34.748196+00:00,ok,
AWP | Atheris (Field-Tested),4.97,4.2435351,4.91,4.1923053,2054,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:08:44.407933+00:00,ok,
