market_hash_name,listing_id,asset_id,ask,ask_seller_net,float_value,paint_seed,asset_properties_json,converted_price,converted_fee,converted_currencyid,scm_total_listings
MP9 | Airlock (Field-Tested),630079774383298989,17514408070,16.49,14.35,0.2247898876667,579,,1435.0,214,2003.0,80
MP9 | Airlock (Field-Tested),632334817622136323,27534134033,16.51,14.37,0.17126496136189,558,,1437.0,214,2003.0,80
MP9 | Airlock (Field-Tested),759547669011593012,47704957175,16.65,14.49,0.33256354928017,301,,1449.0,216,2003.0,80
MP9 | Airlock (Field-Tested),658230515402643410,32283163454,16.7,14.53,0.18274483084679,577,,1453.0,217,2003.0,80
MP9 | Airlock (Field-Tested),644718375661234595,21423115333,16.73,14.56,0.21800802648067,703,,1456.0,217,2003.0,80
MP9 | Airlock (Field-Tested),652599041001651828,39215786744,16.9,14.7,0.26083698868752,706,,1470.0,220,2003.0,80
MP9 | Airlock (Field-Tested),657102187436978050,50472886999,17.06,14.84,0.28877973556519,384,,1484.0,222,2003.0,80
MP9 | Airlock (Field-Tested),794459337169118185,49569849691,17.09,14.87,0.27554279565811,387,,1487.0,222,2003.0,80
MP9 | Airlock (Field-Tested),733656966883526245,20457050376,17.25,15.0,0.28098240494728,304,,1500.0,225,2003.0,80
MP9 | Airlock (Field-Tested),734778957725653147,18714661274,17.25,15.0,0.25155267119408,884,,1500.0,225,2003.0,80
MP9 | Airlock (Field-Tested),625575540981847256,29538438006,17.41,15.15,0.26469832658768,987,,1515.0,226,2003.0,80
MP9 | Airlock (Field-Tested),631205674314780431,30628823620,17.51,15.23,0.22997841238976,983,,1523.0,228,2003.0,80
MP9 | Airlock (Field-Tested),807968792827210843,29325274533,17.68,15.39,0.30686202645302,457,,1539.0,229,2003.0,80
MP9 | Airlock (Field-Tested),723518872007502697,47188690780,17.94,15.6,0.29457253217697,44,,1560.0,234,2003.0,80
MP9 | Airlock (Field-Tested),598557211224788223,9978453837,17.96,15.62,0.30620485544205,416,,1562.0,234,2003.0,80
MP9 | Airlock (Field-Tested),660479071893604683,39517589117,18.11,15.76,0.19489268958569,56,,1576.0,235,2003.0,80
MP9 | Airlock (Field-Tested),640214142010723516,26475987352,18.6,16.19,0.34449106454849,580,,1619.0,241,2003.0,80
MP9 | Airlock (Field-Tested),737028946697666047,39181261697,18.66,16.23,0.22168460488319,330,,1623.0,243,2003.0,80
MP9 | Airlock (Field-Tested),653724940922946361,49421776470,18.86,16.4,0.30479222536087,197,,1640.0,246,2003.0,80
MP9 | Airlock (Field-Tested),771937563707370119,26685904784,19.37,16.85,0.30136099457741,912,,1685.0,252,2003.0,80
MP9 | Airlock (Field-Tested),622199290315063647,28330931413,19.55,17.0,0.20370852947235,254,,1700.0,255,2003.0,80
MP9 | Airlock (Field-Tested),660480340357270416,10354519746,19.55,17.0,0.29282522201538,533,,1700.0,255,2003.0,80
MP9 | Airlock (Field-Tested),784324347301877111,23268525647,19.89,17.3,0.37266540527344,932,,1730.0,259,2003.0,80
MP9 | Airlock (Field-Tested),659354440453578950,44782806257,19.98,17.39,0.27965027093887,952,,1739.0,259,2003.0,80
MP9 | Airlock (Field-Tested),756169245438048750,41235859012,20.04,17.43,0.30991035699844,992,,1743.0,261,2003.0,80
MP9 | Airlock (Field-Tested),735902331680940090,47288598813,20.24,17.6,0.26009872555733,364,,1760.0,264,2003.0,80
MP9 | Airlock (Field-Tested),759552560261818158,35519667366,23.0,20.0,0.27308660745621,385,,2000.0,300,2003.0,80
MP9 | Airlock (Field-Tested),760673568907492644,43266869143,25.0,21.75,0.19423142075539,327,,2175.0,325,2003.0,80
MP9 | Airlock (Field-Tested),747161953580455703,17498159101,25.56,22.23,0.23972873389721,357,,2223.0,333,2003.0,80
MP9 | Airlock (Field-Tested),660477807587434975,43485057105,25.64,22.3,0.23716275393963,251,,2230.0,334,2003.0,80
MP9 | Airlock (Field-Tested),746037321946593869,35356155165,28.75,25.0,0.26218447089195,495,,2500.0,375,2003.0,80
MP9 | Airlock (Field-Tested),659355074442793685,39381982935,29.48,25.64,0.20368626713753,99,,2564.0,384,2003.0,80
MP9 | Airlock (Field-Tested),738156916001165600,43956521491,32.44,28.21,0.24609288573265,612,,2821.0,423,2003.0,80
MP9 | Airlock (Field-Tested),644717741649162537,40170673478,42.73,37.17,0.22976286709309,841,,3717.0,556,2003.0,80
MP9 | Airlock (Field-Tested),712258433621550503,42057642729,71.41,62.1,0.20558103919029,480,,6210.0,931,2003.0,80
MP9 | Airlock (Field-Tested),713383775043440265,12013819013,84.55,73.53,0.35997003316879,931,,7353.0,1102,2003.0,80
MP9 | Airlock (Field-Tested),735901773732633373,46244442871,111.98,97.39,0.31009611487389,806,,9739.0,1459,2003.0,80
Galil AR | Rainbow Spoon (Minimal Wear),639090217027787145,50555843806,54.52,47.41,0.14999032020569,339,,4741.0,711,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),650349216068834889,51107968602,54.52,47.41,0.12761230766773,340,,4741.0,711,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),645845616420721797,51267730455,55.2,48.0,0.14541746675968,919,,4800.0,720,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),627831217914251984,46972317116,55.56,48.32,0.09935235977173,290,,4832.0,724,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),633460717424864389,50208578945,55.96,48.67,0.14164605736732,178,,4867.0,729,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),640216116823165415,50176114508,56.0,48.7,0.1385256499052,893,,4870.0,730,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),653726915745166839,51126822593,56.18,48.86,0.10647638887167,412,,4886.0,732,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),646971444406587728,50654181553,58.1,50.53,0.13463595509529,28,,5053.0,757,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),643593816541829905,51108997623,60.43,52.56,0.09609540551901,529,,5256.0,787,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),623327618310989930,50315121983,60.81,52.89,0.11002322286367,994,,5289.0,792,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),636838417168976956,51000039055,60.95,53.0,0.07333337515593,254,,5300.0,795,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),659356415329447882,50482464884,61.02,53.07,0.14952601492405,17,,5307.0,795,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),640216116824430707,50958080094,61.04,53.09,0.07382287085056,502,,5309.0,795,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),641341944857302519,50178543384,61.04,53.09,0.11665914952755,118,,5309.0,795,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),627829877068398475,50895469378,62.41,54.28,0.12286631017923,747,,5428.0,813,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),628957117757627641,49370414838,62.42,54.29,0.12910681962967,581,,5429.0,813,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),623327546346126290,50395040431,63.5,55.22,0.11387220025063,152,,5522.0,828,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),634586617399022259,45133400317,63.62,55.33,0.10239348560572,557,,5533.0,829,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),658230443476926026,50583349255,63.64,55.35,0.13364534080029,362,,5535.0,829,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),635708009634816579,47865820544,63.67,55.38,0.1148626729846,293,,5538.0,829,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),631208845695628406,49716913139,64.3,55.92,0.12906704843044,552,,5592.0,838,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),659356415326291798,51321494197,64.6,56.19,0.07327473908663,869,,5619.0,841,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),645845616403428405,48961974797,65.0,56.53,0.07168041914701,941,,5653.0,847,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),622201718385582432,40883614360,65.4,56.88,0.14075797796249,344,,5688.0,852,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),635712517302122707,50511689399,65.56,57.01,0.0814453214407,163,,5701.0,855,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),591801811364057600,50843306236,66.29,57.65,0.09656592458487,956,,5765.0,864,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),661608215058762748,51001725517,66.95,58.22,0.10901317000389,975,,5822.0,873,2003.0,111
